AX: 0.08, AY: -1.76, AZ: -0.01, GX: -1479.00, GY: 243.00, GZ: 32767.00

AX: -0.15, AY: -1.76, AZ: 0.01, GX: -1479.00, GY: 243.00, GZ: 32767.00

AX: -0.36, AY: -1.66, AZ: -0.05, GX: -1464.00, GY: 250.00, GZ: 32767.00

AX: -0.59, AY: -1.55, AZ: -0.13, GX: -1471.00, GY: 254.00, GZ: 32767.00

AX: -0.77, AY: -1.45, AZ: -0.07, GX: -1501.00, GY: 251.00, GZ: 32767.00

AX: -0.87, AY: -1.26, AZ: 0.04, GX: -1474.00, GY: 240.00, GZ: 32767.00

AX: -0.96, AY: -1.06, AZ: -0.05, GX: -1475.00, GY: 241.00, GZ: 32767.00

AX: -1.00, AY: -0.84, AZ: -0.15, GX: -1486.00, GY: 246.00, GZ: 32767.00

AX: -0.99, AY: -0.62, AZ: -0.07, GX: -1486.00, GY: 241.00, GZ: 32767.00

AX: -0.95, AY: -0.38, AZ: -0.00, GX: -1473.00, GY: 243.00, GZ: 32767.00

AX: -0.86, AY: -0.22, AZ: -0.06, GX: -1485.00, GY: 241.00, GZ: 32767.00

AX: -0.70, AY: -0.07, AZ: -0.11, GX: -1499.00, GY: 230.00, GZ: 32767.00

AX: -0.54, AY: 0.11, AZ: -0.07, GX: -1474.00, GY: 239.00, GZ: 32767.00

AX: -0.30, AY: 0.20, AZ: -0.02, GX: -1474.00, GY: 235.00, GZ: 32767.00

AX: -0.13, AY: 0.25, AZ: -0.01, GX: -1485.00, GY: 236.00, GZ: 32767.00

AX: 0.07, AY: 0.22, AZ: -0.05, GX: -1483.00, GY: 235.00, GZ: 32767.00

AX: 0.32, AY: 0.17, AZ: -0.08, GX: -1480.00, GY: 230.00, GZ: 32767.00

AX: 0.56, AY: 0.14, AZ: -0.05, GX: -1461.00, GY: 229.00, GZ: 32767.00

AX: 0.70, AY: -0.03, AZ: 0.03, GX: -1478.00, GY: 238.00, GZ: 32767.00

AX: 0.80, AY: -0.22, AZ: 0.02, GX: -1470.00, GY: 241.00, GZ: 32767.00

AX: 0.91, AY: -0.41, AZ: -0.06, GX: -1465.00, GY: 235.00, GZ: 32767.00

AX: 1.00, AY: -0.57, AZ: -0.04, GX: -1463.00, GY: 237.00, GZ: 32767.00

AX: 1.01, AY: -0.84, AZ: 0.03, GX: -1480.00, GY: 237.00, GZ: 32767.00

AX: 0.93, AY: -1.06, AZ: 0.02, GX: -1467.00, GY: 241.00, GZ: 32767.00

AX: 0.86, AY: -1.23, AZ: -0.04, GX: -1461.00, GY: 246.00, GZ: 32767.00

AX: 0.76, AY: -1.40, AZ: -0.03, GX: -1482.00, GY: 251.00, GZ: 32767.00

AX: 0.57, AY: -1.59, AZ: 0.00, GX: -1487.00, GY: 242.00, GZ: 32767.00

AX: 0.35, AY: -1.67, AZ: 0.01, GX: -1461.00, GY: 245.00, GZ: 32767.00

AX: 0.20, AY: -1.72, AZ: -0.02, GX: -1461.00, GY: 249.00, GZ: 32767.00

AX: -0.04, AY: -1.77, AZ: -0.06, GX: -1479.00, GY: 254.00, GZ: 32767.00

AX: -0.30, AY: -1.71, AZ: -0.08, GX: -1486.00, GY: 247.00, GZ: 32767.00

AX: -0.49, AY: -1.64, AZ: -0.02, GX: -1493.00, GY: 242.00, GZ: 32767.00

AX: -0.63, AY: -1.48, AZ: 0.03, GX: -1465.00, GY: 242.00, GZ: 32767.00

AX: -0.78, AY: -1.30, AZ: -0.08, GX: -1476.00, GY: 245.00, GZ: 32767.00

AX: -0.92, AY: -1.11, AZ: -0.16, GX: -1484.00, GY: 248.00, GZ: 32767.00

AX: -0.98, AY: -0.92, AZ: -0.04, GX: -1478.00, GY: 243.00, GZ: 32767.00

AX: -1.02, AY: -0.70, AZ: 0.00, GX: -1483.00, GY: 244.00, GZ: 32767.00

AX: -0.99, AY: -0.49, AZ: -0.09, GX: -1491.00, GY: 241.00, GZ: 32767.00

AX: -0.91, AY: -0.27, AZ: -0.12, GX: -1485.00, GY: 234.00, GZ: 32767.00

AX: -0.78, AY: -0.08, AZ: -0.04, GX: -1473.00, GY: 246.00, GZ: 32767.00

AX: -0.62, AY: 0.05, AZ: -0.02, GX: -1484.00, GY: 245.00, GZ: 32767.00

AX: -0.46, AY: 0.13, AZ: -0.06, GX: -1497.00, GY: 228.00, GZ: 32767.00

AX: -0.27, AY: 0.25, AZ: -0.09, GX: -1472.00, GY: 232.00, GZ: 32767.00

AX: 0.02, AY: 0.26, AZ: -0.07, GX: -1479.00, GY: 238.00, GZ: 32767.00

AX: 0.24, AY: 0.21, AZ: -0.01, GX: -1476.00, GY: 241.00, GZ: 32767.00

AX: 0.39, AY: 0.11, AZ: 0.02, GX: -1484.00, GY: 236.00, GZ: 32767.00

AX: 0.56, AY: 0.01, AZ: -0.03, GX: -1473.00, GY: 232.00, GZ: 32767.00

AX: 0.77, AY: -0.10, AZ: -0.08, GX: -1466.00, GY: 230.00, GZ: 32767.00

AX: 0.91, AY: -0.34, AZ: -0.02, GX: -1477.00, GY: 242.00, GZ: 32767.00

AX: 0.98, AY: -0.55, AZ: 0.05, GX: -1474.00, GY: 238.00, GZ: 32767.00

AX: 0.96, AY: -0.75, AZ: -0.06, GX: -1466.00, GY: 235.00, GZ: 32767.00

AX: 0.98, AY: -0.94, AZ: -0.00, GX: -1466.00, GY: 241.00, GZ: 32767.00

AX: 0.94, AY: -1.20, AZ: 0.03, GX: -1485.00, GY: 247.00, GZ: 32767.00

AX: 0.80, AY: -1.39, AZ: -0.01, GX: -1474.00, GY: 241.00, GZ: 32767.00

AX: 0.65, AY: -1.50, AZ: -0.05, GX: -1460.00, GY: 243.00, GZ: 32767.00

AX: 0.50, AY: -1.63, AZ: -0.03, GX: -1474.00, GY: 254.00, GZ: 32767.00

AX: 0.29, AY: -1.75, AZ: -0.01, GX: -1488.00, GY: 240.00, GZ: 32767.00

AX: 0.02, AY: -1.76, AZ: 0.01, GX: -1469.00, GY: 244.00, GZ: 32767.00

AX: -0.15, AY: -1.73, AZ: -0.01, GX: -1462.00, GY: 248.00, GZ: 32767.00

AX: -0.40, AY: -1.66, AZ: -0.12, GX: -1475.00, GY: 251.00, GZ: 32767.00

AX: -0.63, AY: -1.54, AZ: -0.09, GX: -1478.00, GY: 247.00, GZ: 32767.00

AX: -0.78, AY: -1.44, AZ: 0.01, GX: -1493.00, GY: 245.00, GZ: 32767.00

AX: -0.87, AY: -1.22, AZ: 0.01, GX: -1469.00, GY: 242.00, GZ: 32767.00

AX: -0.97, AY: -1.04, AZ: -0.13, GX: -1488.00, GY: 241.00, GZ: 32767.00

AX: -1.01, AY: -0.80, AZ: -0.12, GX: -1484.00, GY: 247.00, GZ: 32767.00

AX: -0.97, AY: -0.59, AZ: -0.00, GX: -1482.00, GY: 241.00, GZ: 32767.00

AX: -0.95, AY: -0.37, AZ: -0.03, GX: -1476.00, GY: 241.00, GZ: 32767.00

AX: -0.86, AY: -0.20, AZ: -0.11, GX: -1490.00, GY: 245.00, GZ: 32767.00

AX: -0.67, AY: -0.04, AZ: -0.09, GX: -1492.00, GY: 231.00, GZ: 32767.00

AX: -0.50, AY: 0.14, AZ: -0.03, GX: -1469.00, GY: 242.00, GZ: 32767.00

AX: -0.31, AY: 0.22, AZ: -0.01, GX: -1478.00, GY: 242.00, GZ: 32767.00

AX: -0.11, AY: 0.21, AZ: -0.05, GX: -1492.00, GY: 231.00, GZ: 32767.00

AX: 0.11, AY: 0.23, AZ: -0.08, GX: -1476.00, GY: 233.00, GZ: 32767.00

AX: 0.37, AY: 0.19, AZ: -0.07, GX: -1480.00, GY: 239.00, GZ: 32767.00

AX: 0.58, AY: 0.12, AZ: 0.02, GX: -1476.00, GY: 238.00, GZ: 32767.00

AX: 0.68, AY: -0.08, AZ: 0.04, GX: -1484.00, GY: 236.00, GZ: 32767.00

AX: 0.81, AY: -0.24, AZ: -0.03, GX: -1468.00, GY: 237.00, GZ: 32767.00

AX: 0.97, AY: -0.41, AZ: -0.06, GX: -1470.00, GY: 233.00, GZ: 32767.00

AX: 1.01, AY: -0.63, AZ: 0.02, GX: -1477.00, GY: 240.00, GZ: 32767.00

AX: 0.96, AY: -0.89, AZ: 0.03, GX: -1473.00, GY: 239.00, GZ: 32767.00

AX: 0.93, AY: -1.09, AZ: -0.03, GX: -1465.00, GY: 238.00, GZ: 32767.00

AX: 0.86, AY: -1.24, AZ: -0.04, GX: -1471.00, GY: 243.00, GZ: 32767.00

AX: 0.71, AY: -1.45, AZ: -0.00, GX: -1483.00, GY: 246.00, GZ: 32767.00

AX: 0.53, AY: -1.62, AZ: -0.00, GX: -1476.00, GY: 243.00, GZ: 32767.00

AX: 0.36, AY: -1.67, AZ: -0.01, GX: -1455.00, GY: 245.00, GZ: 32767.00

AX: 0.16, AY: -1.73, AZ: -0.04, GX: -1465.00, GY: 250.00, GZ: 32767.00

AX: -0.11, AY: -1.79, AZ: -0.08, GX: -1495.00, GY: 251.00, GZ: 32767.00

AX: -0.33, AY: -1.70, AZ: -0.02, GX: -1482.00, GY: 238.00, GZ: 32767.00

AX: -0.49, AY: -1.59, AZ: 0.03, GX: -1471.00, GY: 244.00, GZ: 32767.00

AX: -0.65, AY: -1.47, AZ: -0.06, GX: -1477.00, GY: 246.00, GZ: 32767.00

AX: -0.83, AY: -1.26, AZ: -0.15, GX: -1481.00, GY: 245.00, GZ: 32767.00

AX: -0.94, AY: -1.11, AZ: -0.08, GX: -1490.00, GY: 247.00, GZ: 32767.00

AX: -0.98, AY: -0.89, AZ: 0.02, GX: -1479.00, GY: 239.00, GZ: 32767.00

AX: -1.01, AY: -0.67, AZ: -0.05, GX: -1480.00, GY: 239.00, GZ: 32767.00

AX: -0.99, AY: -0.43, AZ: -0.14, GX: -1481.00, GY: 245.00, GZ: 32767.00

AX: -0.86, AY: -0.24, AZ: -0.06, GX: -1479.00, GY: 239.00, GZ: 32767.00

AX: -0.76, AY: -0.07, AZ: -0.00, GX: -1477.00, GY: 239.00, GZ: 32767.00

AX: -0.62, AY: 0.06, AZ: -0.06, GX: -1492.00, GY: 237.00, GZ: 32767.00

AX: -0.42, AY: 0.16, AZ: -0.08, GX: -1485.00, GY: 229.00, GZ: 32767.00

AX: -0.20, AY: 0.27, AZ: -0.08, GX: -1463.00, GY: 236.00, GZ: 32767.00

AX: 0.04, AY: 0.24, AZ: -0.03, GX: -1472.00, GY: 240.00, GZ: 32767.00

AX: 0.23, AY: 0.17, AZ: 0.02, GX: -1486.00, GY: 236.00, GZ: 32767.00

AX: 0.40, AY: 0.12, AZ: -0.01, GX: -1475.00, GY: 227.00, GZ: 32767.00

AX: 0.60, AY: 0.01, AZ: -0.08, GX: -1470.00, GY: 236.00, GZ: 32767.00

AX: 0.83, AY: -0.16, AZ: -0.04, GX: -1478.00, GY: 230.00, GZ: 32767.00

AX: 0.90, AY: -0.38, AZ: 0.02, GX: -1474.00, GY: 240.00, GZ: 32767.00

AX: 0.96, AY: -0.56, AZ: -0.05, GX: -1462.00, GY: 236.00, GZ: 32767.00

AX: 0.98, AY: -0.77, AZ: -0.03, GX: -1467.00, GY: 240.00, GZ: 32767.00

AX: 1.00, AY: -1.01, AZ: 0.04, GX: -1479.00, GY: 238.00, GZ: 32767.00

AX: 0.89, AY: -1.22, AZ: 0.02, GX: -1467.00, GY: 240.00, GZ: 32767.00

AX: 0.78, AY: -1.39, AZ: -0.04, GX: -1464.00, GY: 237.00, GZ: 32767.00

AX: 0.64, AY: -1.53, AZ: -0.03, GX: -1462.00, GY: 246.00, GZ: 32767.00

AX: 0.47, AY: -1.66, AZ: -0.01, GX: -1479.00, GY: 251.00, GZ: 32767.00

AX: 0.24, AY: -1.76, AZ: -0.01, GX: -1484.00, GY: 240.00, GZ: 32767.00

AX: 0.00, AY: -1.74, AZ: -0.01, GX: -1462.00, GY: 249.00, GZ: 32767.00

AX: -0.21, AY: -1.70, AZ: -0.07, GX: -1469.00, GY: 250.00, GZ: 32767.00

AX: -0.46, AY: -1.67, AZ: -0.11, GX: -1489.00, GY: 253.00, GZ: 32767.00

AX: -0.64, AY: -1.53, AZ: -0.01, GX: -1482.00, GY: 238.00, GZ: 32767.00

AX: -0.78, AY: -1.41, AZ: 0.03, GX: -1479.00, GY: 242.00, GZ: 32767.00

AX: -0.87, AY: -1.21, AZ: -0.11, GX: -1473.00, GY: 241.00, GZ: 32767.00

AX: -0.98, AY: -0.99, AZ: -0.15, GX: -1487.00, GY: 244.00, GZ: 32767.00

AX: -1.01, AY: -0.77, AZ: -0.02, GX: -1480.00, GY: 246.00, GZ: 32767.00

AX: -0.97, AY: -0.56, AZ: -0.00, GX: -1482.00, GY: 244.00, GZ: 32767.00

AX: -0.93, AY: -0.36, AZ: -0.10, GX: -1481.00, GY: 236.00, GZ: 32767.00

AX: -0.84, AY: -0.16, AZ: -0.12, GX: -1483.00, GY: 244.00, GZ: 32767.00

AX: -0.62, AY: -0.01, AZ: -0.04, GX: -1482.00, GY: 236.00, GZ: 32767.00

AX: -0.46, AY: 0.15, AZ: -0.01, GX: -1471.00, GY: 234.00, GZ: 32767.00

AX: -0.32, AY: 0.21, AZ: -0.05, GX: -1484.00, GY: 238.00, GZ: 32767.00

AX: -0.07, AY: 0.20, AZ: -0.07, GX: -1490.00, GY: 230.00, GZ: 32767.00

AX: 0.17, AY: 0.26, AZ: -0.08, GX: -1461.00, GY: 235.00, GZ: 32767.00

AX: 0.40, AY: 0.19, AZ: -0.02, GX: -1479.00, GY: 233.00, GZ: 32767.00

AX: 0.55, AY: 0.08, AZ: 0.04, GX: -1484.00, GY: 236.00, GZ: 32767.00

AX: 0.69, AY: -0.10, AZ: -0.01, GX: -1474.00, GY: 231.00, GZ: 32767.00

AX: 0.84, AY: -0.23, AZ: -0.07, GX: -1463.00, GY: 239.00, GZ: 32767.00

AX: 0.99, AY: -0.44, AZ: -0.02, GX: -1477.00, GY: 232.00, GZ: 32767.00

AX: 0.98, AY: -0.67, AZ: 0.05, GX: -1477.00, GY: 236.00, GZ: 32767.00

AX: 0.96, AY: -0.90, AZ: 0.00, GX: -1463.00, GY: 237.00, GZ: 32767.00

AX: 0.94, AY: -1.07, AZ: -0.05, GX: -1457.00, GY: 243.00, GZ: 32767.00

AX: 0.85, AY: -1.28, AZ: -0.01, GX: -1473.00, GY: 240.00, GZ: 32767.00

AX: 0.67, AY: -1.49, AZ: 0.03, GX: -1470.00, GY: 239.00, GZ: 32767.00

AX: 0.52, AY: -1.60, AZ: -0.02, GX: -1462.00, GY: 243.00, GZ: 32767.00

AX: 0.34, AY: -1.70, AZ: -0.04, GX: -1458.00, GY: 244.00, GZ: 32767.00

AX: 0.11, AY: -1.75, AZ: -0.04, GX: -1472.00, GY: 254.00, GZ: 32767.00

AX: -0.12, AY: -1.78, AZ: -0.06, GX: -1492.00, GY: 240.00, GZ: 32767.00

AX: -0.33, AY: -1.67, AZ: 0.01, GX: -1463.00, GY: 241.00, GZ: 32767.00

AX: -0.49, AY: -1.57, AZ: 0.01, GX: -1463.00, GY: 246.00, GZ: 32767.00

AX: -0.69, AY: -1.45, AZ: -0.12, GX: -1476.00, GY: 257.00, GZ: 32767.00

AX: -0.85, AY: -1.26, AZ: -0.13, GX: -1476.00, GY: 245.00, GZ: 32767.00

AX: -0.97, AY: -1.09, AZ: -0.01, GX: -1482.00, GY: 247.00, GZ: 32767.00

AX: -0.97, AY: -0.88, AZ: -0.00, GX: -1479.00, GY: 231.00, GZ: 32767.00

AX: -1.01, AY: -0.64, AZ: -0.12, GX: -1485.00, GY: 235.00, GZ: 32767.00

AX: -0.97, AY: -0.41, AZ: -0.12, GX: -1478.00, GY: 241.00, GZ: 32767.00

AX: -0.85, AY: -0.22, AZ: -0.02, GX: -1475.00, GY: 240.00, GZ: 32767.00

AX: -0.75, AY: -0.07, AZ: -0.02, GX: -1479.00, GY: 241.00, GZ: 32767.00

AX: -0.61, AY: 0.08, AZ: -0.09, GX: -1480.00, GY: 233.00, GZ: 32767.00

AX: -0.40, AY: 0.18, AZ: -0.08, GX: -1480.00, GY: 236.00, GZ: 32767.00

AX: -0.17, AY: 0.26, AZ: -0.05, GX: -1466.00, GY: 240.00, GZ: 32767.00

AX: 0.04, AY: 0.24, AZ: -0.01, GX: -1478.00, GY: 243.00, GZ: 32767.00

AX: 0.23, AY: 0.16, AZ: 0.00, GX: -1488.00, GY: 229.00, GZ: 32767.00

AX: 0.41, AY: 0.14, AZ: -0.04, GX: -1471.00, GY: 229.00, GZ: 32767.00

AX: 0.64, AY: -0.00, AZ: -0.08, GX: -1472.00, GY: 234.00, GZ: 32767.00

AX: 0.84, AY: -0.18, AZ: -0.01, GX: -1473.00, GY: 236.00, GZ: 32767.00

AX: 0.89, AY: -0.40, AZ: 0.05, GX: -1476.00, GY: 237.00, GZ: 32767.00

AX: 0.94, AY: -0.55, AZ: 0.01, GX: -1454.00, GY: 239.00, GZ: 32767.00

AX: 1.00, AY: -0.79, AZ: -0.06, GX: -1473.00, GY: 234.00, GZ: 32767.00

AX: 0.99, AY: -1.02, AZ: 0.04, GX: -1470.00, GY: 239.00, GZ: 32767.00

AX: 0.88, AY: -1.22, AZ: -0.00, GX: -1465.00, GY: 246.00, GZ: 32767.00

AX: 0.78, AY: -1.38, AZ: -0.04, GX: -1460.00, GY: 239.00, GZ: 32767.00

AX: 0.64, AY: -1.54, AZ: -0.02, GX: -1472.00, GY: 241.00, GZ: 32767.00

AX: 0.45, AY: -1.67, AZ: -0.01, GX: -1476.00, GY: 242.00, GZ: 32767.00

AX: 0.23, AY: -1.75, AZ: -0.01, GX: -1471.00, GY: 236.00, GZ: 32767.00

AX: 0.02, AY: -1.74, AZ: -0.02, GX: -1453.00, GY: 246.00, GZ: 32767.00

AX: -0.24, AY: -1.69, AZ: -0.07, GX: -1458.00, GY: 253.00, GZ: 32767.00

AX: -0.47, AY: -1.68, AZ: -0.10, GX: -1491.00, GY: 250.00, GZ: 32767.00

AX: -0.64, AY: -1.52, AZ: 0.01, GX: -1474.00, GY: 244.00, GZ: 32767.00

AX: -0.77, AY: -1.40, AZ: 0.01, GX: -1475.00, GY: 241.00, GZ: 32767.00

AX: -0.88, AY: -1.20, AZ: -0.12, GX: -1471.00, GY: 243.00, GZ: 32767.00

AX: -0.98, AY: -0.97, AZ: -0.12, GX: -1481.00, GY: 240.00, GZ: 32767.00

AX: -1.02, AY: -0.75, AZ: -0.02, GX: -1474.00, GY: 246.00, GZ: 32767.00

AX: -0.98, AY: -0.56, AZ: -0.01, GX: -1477.00, GY: 244.00, GZ: 32767.00

AX: -0.93, AY: -0.35, AZ: -0.10, GX: -1484.00, GY: 235.00, GZ: 32767.00

AX: -0.83, AY: -0.15, AZ: -0.11, GX: -1477.00, GY: 241.00, GZ: 32767.00

AX: -0.62, AY: 0.00, AZ: -0.04, GX: -1477.00, GY: 235.00, GZ: 32767.00

AX: -0.48, AY: 0.15, AZ: -0.02, GX: -1469.00, GY: 236.00, GZ: 32767.00

AX: -0.30, AY: 0.21, AZ: -0.05, GX: -1477.00, GY: 235.00, GZ: 32767.00

AX: -0.07, AY: 0.22, AZ: -0.07, GX: -1489.00, GY: 232.00, GZ: 32767.00

AX: 0.17, AY: 0.25, AZ: -0.07, GX: -1459.00, GY: 232.00, GZ: 32767.00

AX: 0.39, AY: 0.20, AZ: -0.02, GX: -1472.00, GY: 239.00, GZ: 32767.00

AX: 0.56, AY: 0.07, AZ: 0.03, GX: -1473.00, GY: 237.00, GZ: 32767.00

AX: 0.68, AY: -0.09, AZ: -0.01, GX: -1470.00, GY: 231.00, GZ: 32767.00

AX: 0.84, AY: -0.24, AZ: -0.07, GX: -1465.00, GY: 235.00, GZ: 32767.00

AX: 0.99, AY: -0.43, AZ: -0.02, GX: -1478.00, GY: 229.00, GZ: 32767.00

AX: 0.99, AY: -0.66, AZ: 0.05, GX: -1474.00, GY: 236.00, GZ: 32767.00

AX: 0.96, AY: -0.89, AZ: 0.01, GX: -1460.00, GY: 238.00, GZ: 32767.00

AX: 0.94, AY: -1.08, AZ: -0.05, GX: -1457.00, GY: 241.00, GZ: 32767.00

AX: 0.87, AY: -1.26, AZ: -0.02, GX: -1474.00, GY: 239.00, GZ: 32767.00

AX: 0.68, AY: -1.49, AZ: 0.02, GX: -1472.00, GY: 245.00, GZ: 32767.00

AX: 0.52, AY: -1.61, AZ: -0.02, GX: -1458.00, GY: 235.00, GZ: 32767.00

AX: 0.34, AY: -1.69, AZ: -0.02, GX: -1449.00, GY: 246.00, GZ: 32767.00

AX: 0.14, AY: -1.74, AZ: -0.04, GX: -1473.00, GY: 246.00, GZ: 32767.00

AX: -0.12, AY: -1.78, AZ: -0.06, GX: -1493.00, GY: 244.00, GZ: 32767.00

AX: -0.33, AY: -1.68, AZ: 0.00, GX: -1468.00, GY: 240.00, GZ: 32767.00

AX: -0.49, AY: -1.57, AZ: 0.01, GX: -1461.00, GY: 242.00, GZ: 32767.00

AX: -0.66, AY: -1.45, AZ: -0.11, GX: -1471.00, GY: 250.00, GZ: 32767.00

AX: -0.84, AY: -1.26, AZ: -0.13, GX: -1469.00, GY: 247.00, GZ: 32767.00

AX: -0.96, AY: -1.10, AZ: -0.03, GX: -1478.00, GY: 245.00, GZ: 32767.00

AX: -0.98, AY: -0.88, AZ: 0.02, GX: -1472.00, GY: 235.00, GZ: 32767.00

AX: -1.01, AY: -0.65, AZ: -0.10, GX: -1482.00, GY: 238.00, GZ: 32767.00

AX: -0.97, AY: -0.41, AZ: -0.13, GX: -1473.00, GY: 248.00, GZ: 32767.00

AX: -0.86, AY: -0.23, AZ: -0.05, GX: -1476.00, GY: 239.00, GZ: 32767.00

AX: -0.76, AY: -0.07, AZ: -0.02, GX: -1473.00, GY: 232.00, GZ: 32767.00

AX: -0.63, AY: 0.07, AZ: -0.07, GX: -1479.00, GY: 239.00, GZ: 32767.00

AX: -0.41, AY: 0.18, AZ: -0.07, GX: -1483.00, GY: 233.00, GZ: 32767.00

AX: -0.21, AY: 0.27, AZ: -0.07, GX: -1461.00, GY: 234.00, GZ: 32767.00

AX: 0.04, AY: 0.25, AZ: -0.03, GX: -1473.00, GY: 240.00, GZ: 32767.00

AX: 0.22, AY: 0.18, AZ: 0.00, GX: -1481.00, GY: 232.00, GZ: 32767.00

AX: 0.41, AY: 0.13, AZ: -0.02, GX: -1469.00, GY: 229.00, GZ: 32767.00

AX: 0.61, AY: 0.01, AZ: -0.07, GX: -1466.00, GY: 236.00, GZ: 32767.00

AX: 0.83, AY: -0.15, AZ: -0.04, GX: -1468.00, GY: 234.00, GZ: 32767.00

AX: 0.90, AY: -0.38, AZ: 0.04, GX: -1474.00, GY: 237.00, GZ: 32767.00

AX: 0.95, AY: -0.54, AZ: -0.04, GX: -1454.00, GY: 234.00, GZ: 32767.00

AX: 0.98, AY: -0.77, AZ: -0.04, GX: -1459.00, GY: 232.00, GZ: 32767.00

AX: 1.00, AY: -0.98, AZ: 0.03, GX: -1468.00, GY: 236.00, GZ: 32767.00

AX: 0.92, AY: -1.21, AZ: 0.01, GX: -1465.00, GY: 242.00, GZ: 32767.00

AX: 0.78, AY: -1.38, AZ: -0.04, GX: -1457.00, GY: 237.00, GZ: 32767.00

AX: 0.64, AY: -1.52, AZ: -0.04, GX: -1463.00, GY: 244.00, GZ: 32767.00

AX: 0.48, AY: -1.64, AZ: -0.01, GX: -1470.00, GY: 250.00, GZ: 32767.00

AX: 0.22, AY: -1.76, AZ: -0.02, GX: -1481.00, GY: 234.00, GZ: 32767.00

AX: 0.01, AY: -1.74, AZ: -0.01, GX: -1455.00, GY: 247.00, GZ: 32767.00

AX: -0.19, AY: -1.70, AZ: -0.04, GX: -1455.00, GY: 251.00, GZ: 32767.00

AX: -0.43, AY: -1.66, AZ: -0.12, GX: -1479.00, GY: 250.00, GZ: 32767.00

AX: -0.64, AY: -1.53, AZ: -0.03, GX: -1477.00, GY: 242.00, GZ: 32767.00

AX: -0.78, AY: -1.42, AZ: 0.03, GX: -1480.00, GY: 243.00, GZ: 32767.00

AX: -0.86, AY: -1.22, AZ: -0.06, GX: -1464.00, GY: 238.00, GZ: 32767.00

AX: -0.97, AY: -1.01, AZ: -0.14, GX: -1476.00, GY: 243.00, GZ: 32767.00

AX: -1.02, AY: -0.78, AZ: -0.09, GX: -1478.00, GY: 247.00, GZ: 32767.00
