AX: 0.95, AY: -2.85, AZ: 0.01, GX: -2452.00, GY: 522.00, GZ: 32767.00
AX: 0.11, AY: -3.57, AZ: -0.03, GX: -2460.00, GY: 523.00, GZ: 32767.00

AX: -0.28, AY: -3.51, AZ: -0.03, GX: -2454.00, GY: 525.00, GZ: 32767.00

AX: -0.63, AY: -3.32, AZ: -0.05, GX: -2467.00, GY: 528.00, GZ: 32767.00

AX: -0.90, AY: -2.98, AZ: -0.05, GX: -2470.00, GY: 525.00, GZ: 32767.00

AX: -1.03, AY: -2.58, AZ: -0.07, GX: -2472.00, GY: 528.00, GZ: 32767.00

AX: -0.99, AY: -2.20, AZ: -0.05, GX: -2477.00, GY: 517.00, GZ: 32767.00

AX: -0.81, AY: -1.86, AZ: -0.05, GX: -2475.00, GY: 516.00, GZ: 32767.00

AX: -0.47, AY: -1.66, AZ: -0.05, GX: -2475.00, GY: 513.00, GZ: 32767.00

AX: -0.08, AY: -1.56, AZ: -0.02, GX: -2462.00, GY: 506.00, GZ: 32767.00

AX: 0.33, AY: -1.67, AZ: -0.00, GX: -2461.00, GY: 509.00, GZ: 32767.00

AX: 0.68, AY: -1.91, AZ: 0.01, GX: -2450.00, GY: 505.00, GZ: 32767.00

AX: 0.91, AY: -2.27, AZ: 0.01, GX: -2460.00, GY: 512.00, GZ: 32767.00

AX: 0.97, AY: -2.68, AZ: -0.00, GX: -2458.00, GY: 514.00, GZ: 32767.00

AX: 0.85, AY: -3.05, AZ: -0.02, GX: -2453.00, GY: 521.00, GZ: 32767.00

AX: 0.60, AY: -3.36, AZ: -0.01, GX: -2455.00, GY: 526.00, GZ: 32767.00

AX: 0.23, AY: -3.53, AZ: -0.01, GX: -2446.00, GY: 532.00, GZ: 32767.00

AX: -0.20, AY: -3.57, AZ: -0.04, GX: -2465.00, GY: 529.00, GZ: 32767.00

AX: -0.56, AY: -3.42, AZ: -0.04, GX: -2462.00, GY: 526.00, GZ: 32767.00

AX: -0.86, AY: -3.15, AZ: -0.03, GX: -2468.00, GY: 523.00, GZ: 32767.00

AX: -1.02, AY: -2.78, AZ: -0.06, GX: -2471.00, GY: 523.00, GZ: 32767.00

AX: -1.01, AY: -2.36, AZ: -0.06, GX: -2474.00, GY: 523.00, GZ: 32767.00

AX: -0.85, AY: -1.99, AZ: -0.04, GX: -2473.00, GY: 519.00, GZ: 32767.00

AX: -0.55, AY: -1.72, AZ: -0.03, GX: -2465.00, GY: 514.00, GZ: 32767.00

AX: -0.18, AY: -1.60, AZ: -0.04, GX: -2470.00, GY: 510.00, GZ: 32767.00

AX: 0.23, AY: -1.62, AZ: -0.03, GX: -2467.00, GY: 501.00, GZ: 32767.00

AX: 0.58, AY: -1.79, AZ: -0.03, GX: -2459.00, GY: 509.00, GZ: 32767.00

AX: 0.86, AY: -2.10, AZ: -0.01, GX: -2461.00, GY: 506.00, GZ: 32767.00

AX: 0.98, AY: -2.48, AZ: -0.00, GX: -2451.00, GY: 515.00, GZ: 32767.00

AX: 0.93, AY: -2.90, AZ: 0.01, GX: -2458.00, GY: 521.00, GZ: 32767.00

AX: 0.68, AY: -3.23, AZ: 0.01, GX: -2456.00, GY: 527.00, GZ: 32767.00

AX: 0.38, AY: -3.47, AZ: -0.02, GX: -2454.00, GY: 526.00, GZ: 32767.00

AX: 0.01, AY: -3.56, AZ: -0.02, GX: -2453.00, GY: 522.00, GZ: 32767.00

AX: -0.40, AY: -3.50, AZ: -0.03, GX: -2458.00, GY: 530.00, GZ: 32767.00

AX: -0.74, AY: -3.28, AZ: -0.06, GX: -2465.00, GY: 528.00, GZ: 32767.00

AX: -0.98, AY: -2.94, AZ: -0.05, GX: -2469.00, GY: 528.00, GZ: 32767.00

AX: -1.05, AY: -2.56, AZ: -0.04, GX: -2478.00, GY: 518.00, GZ: 32767.00

AX: -0.96, AY: -2.15, AZ: -0.05, GX: -2472.00, GY: 520.00, GZ: 32767.00

AX: -0.69, AY: -1.85, AZ: -0.05, GX: -2472.00, GY: 515.00, GZ: 32767.00

AX: -0.34, AY: -1.62, AZ: -0.05, GX: -2467.00, GY: 514.00, GZ: 32767.00

AX: 0.06, AY: -1.57, AZ: -0.03, GX: -2459.00, GY: 510.00, GZ: 32767.00

AX: 0.44, AY: -1.69, AZ: 0.01, GX: -2459.00, GY: 508.00, GZ: 32767.00

AX: 0.74, AY: -1.95, AZ: 0.00, GX: -2461.00, GY: 509.00, GZ: 32767.00

AX: 0.91, AY: -2.39, AZ: -0.01, GX: -2452.00, GY: 513.00, GZ: 32767.00

AX: 0.94, AY: -2.79, AZ: -0.01, GX: -2453.00, GY: 508.00, GZ: 32767.00

AX: 0.83, AY: -3.17, AZ: -0.02, GX: -2458.00, GY: 522.00, GZ: 32767.00

AX: 0.55, AY: -3.42, AZ: -0.00, GX: -2454.00, GY: 529.00, GZ: 32767.00

AX: 0.16, AY: -3.56, AZ: -0.02, GX: -2459.00, GY: 527.00, GZ: 32767.00

AX: -0.24, AY: -3.53, AZ: -0.04, GX: -2459.00, GY: 523.00, GZ: 32767.00

AX: -0.61, AY: -3.34, AZ: -0.03, GX: -2463.00, GY: 520.00, GZ: 32767.00

AX: -0.88, AY: -3.04, AZ: -0.04, GX: -2470.00, GY: 526.00, GZ: 32767.00

AX: -1.02, AY: -2.65, AZ: -0.07, GX: -2472.00, GY: 525.00, GZ: 32767.00

AX: -1.00, AY: -2.24, AZ: -0.06, GX: -2478.00, GY: 526.00, GZ: 32767.00

AX: -0.83, AY: -1.91, AZ: -0.04, GX: -2468.00, GY: 515.00, GZ: 32767.00

AX: -0.52, AY: -1.67, AZ: -0.04, GX: -2474.00, GY: 512.00, GZ: 32767.00

AX: -0.12, AY: -1.58, AZ: -0.04, GX: -2467.00, GY: 504.00, GZ: 32767.00

AX: 0.26, AY: -1.64, AZ: -0.04, GX: -2460.00, GY: 508.00, GZ: 32767.00

AX: 0.64, AY: -1.87, AZ: -0.03, GX: -2454.00, GY: 502.00, GZ: 32767.00

AX: 0.88, AY: -2.22, AZ: -0.01, GX: -2459.00, GY: 511.00, GZ: 32767.00

AX: 0.98, AY: -2.63, AZ: 0.01, GX: -2456.00, GY: 515.00, GZ: 32767.00

AX: 0.88, AY: -3.01, AZ: 0.01, GX: -2452.00, GY: 523.00, GZ: 32767.00

AX: 0.66, AY: -3.32, AZ: -0.02, GX: -2455.00, GY: 523.00, GZ: 32767.00

AX: 0.35, AY: -3.51, AZ: -0.02, GX: -2453.00, GY: 530.00, GZ: 32767.00

AX: -0.04, AY: -3.56, AZ: -0.03, GX: -2455.00, GY: 535.00, GZ: 32767.00

AX: -0.44, AY: -3.45, AZ: -0.05, GX: -2465.00, GY: 527.00, GZ: 32767.00

AX: -0.79, AY: -3.19, AZ: -0.06, GX: -2468.00, GY: 526.00, GZ: 32767.00

AX: -0.99, AY: -2.84, AZ: -0.03, GX: -2473.00, GY: 524.00, GZ: 32767.00

AX: -1.04, AY: -2.42, AZ: -0.07, GX: -2477.00, GY: 522.00, GZ: 32767.00

AX: -0.92, AY: -2.04, AZ: -0.06, GX: -2473.00, GY: 520.00, GZ: 32767.00

AX: -0.66, AY: -1.75, AZ: -0.04, GX: -2466.00, GY: 518.00, GZ: 32767.00

AX: -0.29, AY: -1.59, AZ: -0.02, GX: -2464.00, GY: 512.00, GZ: 32767.00

AX: 0.09, AY: -1.61, AZ: -0.02, GX: -2463.00, GY: 508.00, GZ: 32767.00

AX: 0.47, AY: -1.76, AZ: -0.03, GX: -2459.00, GY: 511.00, GZ: 32767.00

AX: 0.77, AY: -2.06, AZ: -0.02, GX: -2462.00, GY: 509.00, GZ: 32767.00

AX: 0.92, AY: -2.43, AZ: -0.02, GX: -2450.00, GY: 508.00, GZ: 32767.00

AX: 0.96, AY: -2.85, AZ: -0.01, GX: -2459.00, GY: 521.00, GZ: 32767.00

AX: 0.81, AY: -3.18, AZ: 0.01, GX: -2451.00, GY: 525.00, GZ: 32767.00

AX: 0.51, AY: -3.45, AZ: -0.01, GX: -2453.00, GY: 528.00, GZ: 32767.00

AX: 0.05, AY: -3.57, AZ: -0.04, GX: -2453.00, GY: 523.00, GZ: 32767.00

AX: -0.34, AY: -3.52, AZ: -0.03, GX: -2456.00, GY: 529.00, GZ: 32767.00

AX: -0.70, AY: -3.32, AZ: -0.05, GX: -2465.00, GY: 527.00, GZ: 32767.00

AX: -0.95, AY: -2.99, AZ: -0.07, GX: -2467.00, GY: 526.00, GZ: 32767.00

AX: -1.04, AY: -2.60, AZ: -0.05, GX: -2484.00, GY: 529.00, GZ: 32767.00

AX: -0.98, AY: -2.20, AZ: -0.05, GX: -2476.00, GY: 522.00, GZ: 32767.00

AX: -0.75, AY: -1.88, AZ: -0.06, GX: -2479.00, GY: 522.00, GZ: 32767.00

AX: -0.39, AY: -1.66, AZ: -0.06, GX: -2471.00, GY: 511.00, GZ: 32767.00

AX: -0.01, AY: -1.56, AZ: -0.03, GX: -2457.00, GY: 511.00, GZ: 32767.00

AX: 0.39, AY: -1.66, AZ: 0.00, GX: -2465.00, GY: 508.00, GZ: 32767.00

AX: 0.72, AY: -1.90, AZ: 0.01, GX: -2454.00, GY: 507.00, GZ: 32767.00

AX: 0.92, AY: -2.27, AZ: 0.01, GX: -2458.00, GY: 514.00, GZ: 32767.00

AX: 0.95, AY: -2.67, AZ: -0.01, GX: -2457.00, GY: 517.00, GZ: 32767.00

AX: 0.83, AY: -3.04, AZ: -0.01, GX: -2456.00, GY: 517.00, GZ: 32767.00

AX: 0.60, AY: -3.35, AZ: -0.02, GX: -2451.00, GY: 529.00, GZ: 32767.00

AX: 0.22, AY: -3.52, AZ: -0.01, GX: -2456.00, GY: 533.00, GZ: 32767.00

AX: -0.18, AY: -3.57, AZ: -0.04, GX: -2463.00, GY: 530.00, GZ: 32767.00

AX: -0.57, AY: -3.43, AZ: -0.04, GX: -2462.00, GY: 525.00, GZ: 32767.00

AX: -0.84, AY: -3.17, AZ: -0.03, GX: -2470.00, GY: 523.00, GZ: 32767.00

AX: -1.02, AY: -2.78, AZ: -0.05, GX: -2470.00, GY: 524.00, GZ: 32767.00

AX: -1.01, AY: -2.38, AZ: -0.06, GX: -2480.00, GY: 523.00, GZ: 32767.00

AX: -0.85, AY: -1.99, AZ: -0.05, GX: -2471.00, GY: 523.00, GZ: 32767.00

AX: -0.57, AY: -1.71, AZ: -0.03, GX: -2469.00, GY: 514.00, GZ: 32767.00

AX: -0.19, AY: -1.60, AZ: -0.03, GX: -2466.00, GY: 508.00, GZ: 32767.00

AX: 0.21, AY: -1.61, AZ: -0.04, GX: -2463.00, GY: 509.00, GZ: 32767.00

AX: 0.58, AY: -1.79, AZ: -0.03, GX: -2457.00, GY: 507.00, GZ: 32767.00

AX: 0.85, AY: -2.09, AZ: -0.01, GX: -2454.00, GY: 507.00, GZ: 32767.00

AX: 0.98, AY: -2.48, AZ: -0.01, GX: -2459.00, GY: 516.00, GZ: 32767.00

AX: 0.93, AY: -2.96, AZ: 0.01, GX: -2456.00, GY: 523.00, GZ: 32767.00

AX: 0.70, AY: -3.28, AZ: 0.01, GX: -2450.00, GY: 523.00, GZ: 32767.00

AX: 0.38, AY: -3.51, AZ: -0.02, GX: -2458.00, GY: 521.00, GZ: 32767.00

AX: 0.01, AY: -3.56, AZ: -0.02, GX: -2450.00, GY: 529.00, GZ: 32767.00

AX: -0.39, AY: -3.47, AZ: -0.04, GX: -2455.00, GY: 530.00, GZ: 32767.00

AX: -0.72, AY: -3.24, AZ: -0.06, GX: -2467.00, GY: 525.00, GZ: 32767.00

AX: -0.98, AY: -2.88, AZ: -0.06, GX: -2476.00, GY: 529.00, GZ: 32767.00

AX: -1.04, AY: -2.49, AZ: -0.04, GX: -2472.00, GY: 518.00, GZ: 32767.00

AX: -0.96, AY: -2.08, AZ: -0.05, GX: -2478.00, GY: 522.00, GZ: 32767.00

AX: -0.70, AY: -1.79, AZ: -0.06, GX: -2474.00, GY: 514.00, GZ: 32767.00

AX: -0.36, AY: -1.60, AZ: -0.05, GX: -2460.00, GY: 513.00, GZ: 32767.00

AX: 0.05, AY: -1.59, AZ: -0.02, GX: -2461.00, GY: 511.00, GZ: 32767.00

AX: 0.43, AY: -1.74, AZ: -0.00, GX: -2462.00, GY: 513.00, GZ: 32767.00

AX: 0.74, AY: -2.02, AZ: 0.00, GX: -2458.00, GY: 513.00, GZ: 32767.00

AX: 0.92, AY: -2.39, AZ: -0.00, GX: -2459.00, GY: 511.00, GZ: 32767.00

AX: 0.94, AY: -2.78, AZ: -0.01, GX: -2455.00, GY: 517.00, GZ: 32767.00

AX: 0.84, AY: -3.16, AZ: -0.02, GX: -2458.00, GY: 522.00, GZ: 32767.00

AX: 0.56, AY: -3.42, AZ: 0.00, GX: -2452.00, GY: 531.00, GZ: 32767.00

AX: 0.17, AY: -3.56, AZ: -0.01, GX: -2461.00, GY: 531.00, GZ: 32767.00

AX: -0.24, AY: -3.53, AZ: -0.04, GX: -2452.00, GY: 529.00, GZ: 32767.00

AX: -0.59, AY: -3.36, AZ: -0.03, GX: -2465.00, GY: 523.00, GZ: 32767.00

AX: -0.87, AY: -3.05, AZ: -0.05, GX: -2467.00, GY: 524.00, GZ: 32767.00

AX: -1.03, AY: -2.64, AZ: -0.06, GX: -2477.00, GY: 526.00, GZ: 32767.00

AX: -0.99, AY: -2.25, AZ: -0.05, GX: -2476.00, GY: 521.00, GZ: 32767.00

AX: -0.84, AY: -1.90, AZ: -0.04, GX: -2473.00, GY: 515.00, GZ: 32767.00

AX: -0.53, AY: -1.68, AZ: -0.04, GX: -2472.00, GY: 517.00, GZ: 32767.00

AX: -0.14, AY: -1.58, AZ: -0.04, GX: -2471.00, GY: 510.00, GZ: 32767.00

AX: 0.26, AY: -1.64, AZ: -0.03, GX: -2462.00, GY: 506.00, GZ: 32767.00

AX: 0.63, AY: -1.87, AZ: -0.01, GX: -2457.00, GY: 508.00, GZ: 32767.00

AX: 0.89, AY: -2.21, AZ: 0.00, GX: -2459.00, GY: 515.00, GZ: 32767.00

AX: 0.98, AY: -2.61, AZ: 0.01, GX: -2459.00, GY: 517.00, GZ: 32767.00

AX: 0.89, AY: -3.00, AZ: 0.00, GX: -2450.00, GY: 524.00, GZ: 32767.00

AX: 0.67, AY: -3.31, AZ: -0.02, GX: -2452.00, GY: 523.00, GZ: 32767.00

AX: 0.35, AY: -3.51, AZ: -0.02, GX: -2448.00, GY: 530.00, GZ: 32767.00

AX: -0.13, AY: -3.56, AZ: -0.03, GX: -2453.00, GY: 538.00, GZ: 32767.00

AX: -0.52, AY: -3.46, AZ: -0.05, GX: -2464.00, GY: 529.00, GZ: 32767.00

AX: -0.83, AY: -3.20, AZ: -0.04, GX: -2469.00, GY: 522.00, GZ: 32767.00

AX: -1.01, AY: -2.84, AZ: -0.04, GX: -2476.00, GY: 519.00, GZ: 32767.00

AX: -1.03, AY: -2.43, AZ: -0.06, GX: -2477.00, GY: 525.00, GZ: 32767.00

AX: -0.88, AY: -2.05, AZ: -0.06, GX: -2471.00, GY: 521.00, GZ: 32767.00

AX: -0.61, AY: -1.75, AZ: -0.04, GX: -2465.00, GY: 513.00, GZ: 32767.00

AX: -0.25, AY: -1.60, AZ: -0.02, GX: -2466.00, GY: 513.00, GZ: 32767.00

AX: 0.17, AY: -1.60, AZ: -0.02, GX: -2462.00, GY: 504.00, GZ: 32767.00

AX: 0.52, AY: -1.76, AZ: -0.03, GX: -2458.00, GY: 509.00, GZ: 32767.00

AX: 0.82, AY: -2.06, AZ: -0.03, GX: -2458.00, GY: 506.00, GZ: 32767.00

AX: 0.95, AY: -2.42, AZ: -0.01, GX: -2453.00, GY: 511.00, GZ: 32767.00

AX: 0.96, AY: -2.84, AZ: -0.01, GX: -2459.00, GY: 521.00, GZ: 32767.00

AX: 0.75, AY: -3.19, AZ: 0.01, GX: -2453.00, GY: 527.00, GZ: 32767.00

AX: 0.43, AY: -3.45, AZ: -0.01, GX: -2453.00, GY: 524.00, GZ: 32767.00

AX: 0.05, AY: -3.56, AZ: -0.04, GX: -2449.00, GY: 526.00, GZ: 32767.00

AX: -0.33, AY: -3.52, AZ: -0.02, GX: -2457.00, GY: 531.00, GZ: 32767.00

AX: -0.67, AY: -3.33, AZ: -0.05, GX: -2464.00, GY: 524.00, GZ: 32767.00

AX: -0.94, AY: -3.00, AZ: -0.07, GX: -2471.00, GY: 527.00, GZ: 32767.00

AX: -1.04, AY: -2.61, AZ: -0.05, GX: -2472.00, GY: 523.00, GZ: 32767.00

AX: -0.98, AY: -2.19, AZ: -0.04, GX: -2469.00, GY: 515.00, GZ: 32767.00

AX: -0.75, AY: -1.89, AZ: -0.05, GX: -2475.00, GY: 515.00, GZ: 32767.00

AX: -0.41, AY: -1.66, AZ: -0.06, GX: -2468.00, GY: 514.00, GZ: 32767.00

AX: -0.00, AY: -1.58, AZ: -0.03, GX: -2459.00, GY: 508.00, GZ: 32767.00

AX: 0.39, AY: -1.67, AZ: -0.00, GX: -2462.00, GY: 511.00, GZ: 32767.00

AX: 0.72, AY: -1.90, AZ: 0.01, GX: -2460.00, GY: 510.00, GZ: 32767.00

AX: 0.91, AY: -2.25, AZ: 0.01, GX: -2457.00, GY: 517.00, GZ: 32767.00

AX: 0.94, AY: -2.74, AZ: -0.00, GX: -2458.00, GY: 515.00, GZ: 32767.00

AX: 0.84, AY: -3.12, AZ: -0.02, GX: -2455.00, GY: 519.00, GZ: 32767.00

AX: 0.61, AY: -3.40, AZ: -0.02, GX: -2450.00, GY: 530.00, GZ: 32767.00

AX: 0.24, AY: -3.55, AZ: -0.01, GX: -2451.00, GY: 536.00, GZ: 32767.00

AX: -0.17, AY: -3.55, AZ: -0.04, GX: -2460.00, GY: 523.00, GZ: 32767.00

AX: -0.57, AY: -3.39, AZ: -0.03, GX: -2463.00, GY: 527.00, GZ: 32767.00

AX: -0.85, AY: -3.10, AZ: -0.03, GX: -2465.00, GY: 521.00, GZ: 32767.00

AX: -1.02, AY: -2.70, AZ: -0.05, GX: -2473.00, GY: 523.00, GZ: 32767.00

AX: -1.01, AY: -2.29, AZ: -0.06, GX: -2474.00, GY: 525.00, GZ: 32767.00

AX: -0.85, AY: -1.94, AZ: -0.05, GX: -2468.00, GY: 525.00, GZ: 32767.00

AX: -0.58, AY: -1.70, AZ: -0.03, GX: -2469.00, GY: 515.00, GZ: 32767.00

AX: -0.19, AY: -1.59, AZ: -0.02, GX: -2474.00, GY: 509.00, GZ: 32767.00

AX: 0.20, AY: -1.63, AZ: -0.03, GX: -2464.00, GY: 509.00, GZ: 32767.00

AX: 0.58, AY: -1.83, AZ: -0.04, GX: -2461.00, GY: 504.00, GZ: 32767.00

AX: 0.84, AY: -2.15, AZ: -0.02, GX: -2458.00, GY: 508.00, GZ: 32767.00

AX: 0.98, AY: -2.56, AZ: -0.01, GX: -2456.00, GY: 516.00, GZ: 32767.00

AX: 0.93, AY: -2.95, AZ: 0.00, GX: -2455.00, GY: 525.00, GZ: 32767.00

AX: 0.71, AY: -3.29, AZ: 0.00, GX: -2450.00, GY: 524.00, GZ: 32767.00

