AX: 0.78, AY: -0.88, AZ: -0.02, GX: -927.00, GY: 112.00, GZ: 23646.00

AX: 0.68, AY: -0.98, AZ: -0.01, GX: -925.00, GY: 122.00, GZ: 23650.00

AX: 0.60, AY: -1.07, AZ: -0.02, GX: -932.00, GY: 116.00, GZ: 23645.00

AX: 0.49, AY: -1.14, AZ: -0.03, GX: -935.00, GY: 114.00, GZ: 23636.00

AX: 0.36, AY: -1.17, AZ: -0.03, GX: -921.00, GY: 117.00, GZ: 23650.00

AX: 0.25, AY: -1.20, AZ: -0.02, GX: -928.00, GY: 119.00, GZ: 23649.00

AX: 0.15, AY: -1.25, AZ: -0.03, GX: -940.00, GY: 114.00, GZ: 23655.00

AX: -0.01, AY: -1.25, AZ: -0.04, GX: -928.00, GY: 124.00, GZ: 23654.00

AX: -0.10, AY: -1.22, AZ: -0.03, GX: -923.00, GY: 117.00, GZ: 23651.00

AX: -0.24, AY: -1.22, AZ: -0.05, GX: -937.00, GY: 118.00, GZ: 23660.00

AX: -0.40, AY: -1.18, AZ: -0.05, GX: -939.00, GY: 124.00, GZ: 23657.00

AX: -0.49, AY: -1.12, AZ: -0.04, GX: -931.00, GY: 117.00, GZ: 23645.00

AX: -0.60, AY: -1.05, AZ: -0.06, GX: -934.00, GY: 115.00, GZ: 23657.00

AX: -0.71, AY: -0.98, AZ: -0.06, GX: -944.00, GY: 117.00, GZ: 23650.00

AX: -0.77, AY: -0.89, AZ: -0.06, GX: -935.00, GY: 115.00, GZ: 23643.00

AX: -0.85, AY: -0.76, AZ: -0.05, GX: -930.00, GY: 118.00, GZ: 23649.00

AX: -0.91, AY: -0.67, AZ: -0.05, GX: -941.00, GY: 119.00, GZ: 23645.00

AX: -0.96, AY: -0.56, AZ: -0.06, GX: -940.00, GY: 123.00, GZ: 23640.00

AX: -0.99, AY: -0.42, AZ: -0.07, GX: -935.00, GY: 120.00, GZ: 23644.00

AX: -1.00, AY: -0.30, AZ: -0.06, GX: -936.00, GY: 112.00, GZ: 23648.00

AX: -1.01, AY: -0.18, AZ: -0.08, GX: -945.00, GY: 118.00, GZ: 23646.00

AX: -0.99, AY: -0.05, AZ: -0.07, GX: -934.00, GY: 116.00, GZ: 23652.00

AX: -0.96, AY: 0.07, AZ: -0.07, GX: -938.00, GY: 119.00, GZ: 23642.00

AX: -0.90, AY: 0.19, AZ: -0.06, GX: -939.00, GY: 109.00, GZ: 23659.00

AX: -0.87, AY: 0.29, AZ: -0.09, GX: -935.00, GY: 117.00, GZ: 23665.00

AX: -0.77, AY: 0.39, AZ: -0.07, GX: -942.00, GY: 113.00, GZ: 23655.00

AX: -0.68, AY: 0.49, AZ: -0.06, GX: -935.00, GY: 112.00, GZ: 23661.00

AX: -0.59, AY: 0.56, AZ: -0.06, GX: -935.00, GY: 113.00, GZ: 23666.00

AX: -0.50, AY: 0.63, AZ: -0.06, GX: -940.00, GY: 117.00, GZ: 23663.00

AX: -0.35, AY: 0.69, AZ: -0.05, GX: -937.00, GY: 107.00, GZ: 23669.00

AX: -0.26, AY: 0.73, AZ: -0.05, GX: -935.00, GY: 114.00, GZ: 23672.00

AX: -0.12, AY: 0.75, AZ: -0.05, GX: -939.00, GY: 107.00, GZ: 23673.00

AX: 0.01, AY: 0.75, AZ: -0.04, GX: -940.00, GY: 113.00, GZ: 23668.00

AX: 0.12, AY: 0.74, AZ: -0.04, GX: -931.00, GY: 114.00, GZ: 23671.00

AX: 0.25, AY: 0.71, AZ: -0.04, GX: -936.00, GY: 111.00, GZ: 23671.00

AX: 0.36, AY: 0.67, AZ: -0.04, GX: -933.00, GY: 111.00, GZ: 23667.00

AX: 0.47, AY: 0.61, AZ: -0.03, GX: -934.00, GY: 118.00, GZ: 23660.00

AX: 0.60, AY: 0.54, AZ: -0.03, GX: -932.00, GY: 107.00, GZ: 23663.00

AX: 0.67, AY: 0.47, AZ: -0.03, GX: -935.00, GY: 107.00, GZ: 23659.00

AX: 0.76, AY: 0.37, AZ: -0.02, GX: -929.00, GY: 116.00, GZ: 23655.00

AX: 0.85, AY: 0.26, AZ: -0.02, GX: -936.00, GY: 110.00, GZ: 23648.00

AX: 0.91, AY: 0.16, AZ: -0.01, GX: -925.00, GY: 107.00, GZ: 23649.00

AX: 0.95, AY: 0.03, AZ: -0.01, GX: -926.00, GY: 113.00, GZ: 23639.00

AX: 0.98, AY: -0.09, AZ: -0.00, GX: -934.00, GY: 120.00, GZ: 23641.00

AX: 0.99, AY: -0.20, AZ: -0.01, GX: -928.00, GY: 113.00, GZ: 23639.00

AX: 0.99, AY: -0.35, AZ: -0.01, GX: -932.00, GY: 115.00, GZ: 23643.00

AX: 0.97, AY: -0.47, AZ: -0.01, GX: -937.00, GY: 114.00, GZ: 23639.00

AX: 0.94, AY: -0.57, AZ: -0.01, GX: -927.00, GY: 116.00, GZ: 23633.00

AX: 0.90, AY: -0.71, AZ: -0.02, GX: -934.00, GY: 114.00, GZ: 23641.00

AX: 0.82, AY: -0.81, AZ: -0.00, GX: -934.00, GY: 120.00, GZ: 23639.00

AX: 0.77, AY: -0.90, AZ: -0.01, GX: -928.00, GY: 111.00, GZ: 23644.00

AX: 0.65, AY: -1.00, AZ: -0.01, GX: -928.00, GY: 125.00, GZ: 23647.00

AX: 0.59, AY: -1.07, AZ: -0.02, GX: -932.00, GY: 116.00, GZ: 23649.00

AX: 0.48, AY: -1.13, AZ: -0.02, GX: -936.00, GY: 112.00, GZ: 23656.00

AX: 0.35, AY: -1.19, AZ: -0.03, GX: -936.00, GY: 120.00, GZ: 23650.00

AX: 0.24, AY: -1.20, AZ: -0.02, GX: -926.00, GY: 121.00, GZ: 23658.00

AX: 0.13, AY: -1.25, AZ: -0.03, GX: -931.00, GY: 116.00, GZ: 23667.00

AX: -0.03, AY: -1.26, AZ: -0.03, GX: -935.00, GY: 120.00, GZ: 23664.00

AX: -0.12, AY: -1.22, AZ: -0.03, GX: -928.00, GY: 118.00, GZ: 23665.00

AX: -0.26, AY: -1.21, AZ: -0.04, GX: -937.00, GY: 116.00, GZ: 23663.00

AX: -0.39, AY: -1.18, AZ: -0.04, GX: -941.00, GY: 122.00, GZ: 23666.00

AX: -0.51, AY: -1.12, AZ: -0.04, GX: -936.00, GY: 120.00, GZ: 23660.00

AX: -0.61, AY: -1.03, AZ: -0.05, GX: -929.00, GY: 116.00, GZ: 23663.00

AX: -0.71, AY: -0.97, AZ: -0.05, GX: -941.00, GY: 118.00, GZ: 23655.00

AX: -0.79, AY: -0.87, AZ: -0.06, GX: -941.00, GY: 117.00, GZ: 23656.00

AX: -0.87, AY: -0.74, AZ: -0.06, GX: -929.00, GY: 118.00, GZ: 23655.00

AX: -0.91, AY: -0.65, AZ: -0.06, GX: -933.00, GY: 114.00, GZ: 23646.00

AX: -0.97, AY: -0.53, AZ: -0.07, GX: -941.00, GY: 119.00, GZ: 23643.00

AX: -1.00, AY: -0.40, AZ: -0.07, GX: -936.00, GY: 117.00, GZ: 23640.00

AX: -0.99, AY: -0.28, AZ: -0.06, GX: -936.00, GY: 116.00, GZ: 23637.00

AX: -1.00, AY: -0.16, AZ: -0.07, GX: -947.00, GY: 114.00, GZ: 23631.00

AX: -0.99, AY: -0.03, AZ: -0.07, GX: -939.00, GY: 119.00, GZ: 23632.00

AX: -0.96, AY: 0.09, AZ: -0.07, GX: -940.00, GY: 115.00, GZ: 23636.00

AX: -0.88, AY: 0.21, AZ: -0.06, GX: -937.00, GY: 112.00, GZ: 23634.00

AX: -0.86, AY: 0.31, AZ: -0.08, GX: -939.00, GY: 118.00, GZ: 23636.00

AX: -0.76, AY: 0.41, AZ: -0.07, GX: -939.00, GY: 115.00, GZ: 23627.00

AX: -0.67, AY: 0.51, AZ: -0.06, GX: -930.00, GY: 115.00, GZ: 23639.00

AX: -0.57, AY: 0.57, AZ: -0.05, GX: -938.00, GY: 112.00, GZ: 23632.00

AX: -0.48, AY: 0.64, AZ: -0.05, GX: -938.00, GY: 112.00, GZ: 23635.00

AX: -0.34, AY: 0.70, AZ: -0.06, GX: -934.00, GY: 109.00, GZ: 23642.00

AX: -0.24, AY: 0.73, AZ: -0.05, GX: -935.00, GY: 115.00, GZ: 23642.00

AX: -0.10, AY: 0.75, AZ: -0.05, GX: -941.00, GY: 111.00, GZ: 23648.00

AX: 0.01, AY: 0.75, AZ: -0.05, GX: -936.00, GY: 110.00, GZ: 23649.00

AX: 0.13, AY: 0.75, AZ: -0.04, GX: -933.00, GY: 111.00, GZ: 23639.00

AX: 0.27, AY: 0.71, AZ: -0.04, GX: -932.00, GY: 108.00, GZ: 23657.00

AX: 0.37, AY: 0.67, AZ: -0.04, GX: -934.00, GY: 112.00, GZ: 23654.00

AX: 0.48, AY: 0.60, AZ: -0.03, GX: -928.00, GY: 117.00, GZ: 23648.00

AX: 0.61, AY: 0.53, AZ: -0.02, GX: -936.00, GY: 109.00, GZ: 23642.00

AX: 0.70, AY: 0.45, AZ: -0.03, GX: -934.00, GY: 110.00, GZ: 23647.00

AX: 0.78, AY: 0.35, AZ: -0.02, GX: -930.00, GY: 110.00, GZ: 23647.00

AX: 0.86, AY: 0.25, AZ: -0.01, GX: -932.00, GY: 115.00, GZ: 23651.00

AX: 0.92, AY: 0.15, AZ: -0.01, GX: -932.00, GY: 109.00, GZ: 23644.00

AX: 0.96, AY: 0.00, AZ: -0.01, GX: -926.00, GY: 111.00, GZ: 23652.00

AX: 0.97, AY: -0.11, AZ: -0.01, GX: -932.00, GY: 119.00, GZ: 23646.00

AX: 1.00, AY: -0.22, AZ: -0.01, GX: -927.00, GY: 113.00, GZ: 23642.00

AX: 0.98, AY: -0.37, AZ: -0.01, GX: -936.00, GY: 114.00, GZ: 23639.00

AX: 0.97, AY: -0.49, AZ: -0.01, GX: -935.00, GY: 111.00, GZ: 23643.00

AX: 0.93, AY: -0.59, AZ: -0.00, GX: -929.00, GY: 119.00, GZ: 23637.00

AX: 0.89, AY: -0.72, AZ: -0.02, GX: -935.00, GY: 115.00, GZ: 23640.00

AX: 0.82, AY: -0.82, AZ: -0.00, GX: -934.00, GY: 114.00, GZ: 23645.00

AX: 0.76, AY: -0.92, AZ: -0.01, GX: -931.00, GY: 115.00, GZ: 23642.00

AX: 0.64, AY: -1.01, AZ: -0.01, GX: -932.00, GY: 121.00, GZ: 23643.00

AX: 0.58, AY: -1.07, AZ: -0.01, GX: -928.00, GY: 116.00, GZ: 23643.00

AX: 0.47, AY: -1.15, AZ: -0.03, GX: -931.00, GY: 115.00, GZ: 23650.00

AX: 0.33, AY: -1.21, AZ: -0.03, GX: -935.00, GY: 122.00, GZ: 23651.00

AX: 0.23, AY: -1.20, AZ: -0.02, GX: -922.00, GY: 114.00, GZ: 23651.00

AX: 0.11, AY: -1.24, AZ: -0.03, GX: -934.00, GY: 114.00, GZ: 23643.00

AX: -0.04, AY: -1.27, AZ: -0.04, GX: -939.00, GY: 121.00, GZ: 23641.00

AX: -0.14, AY: -1.23, AZ: -0.03, GX: -928.00, GY: 121.00, GZ: 23639.00

AX: -0.28, AY: -1.19, AZ: -0.04, GX: -934.00, GY: 120.00, GZ: 23645.00

AX: -0.41, AY: -1.17, AZ: -0.06, GX: -939.00, GY: 119.00, GZ: 23636.00

AX: -0.50, AY: -1.11, AZ: -0.05, GX: -934.00, GY: 116.00, GZ: 23634.00

AX: -0.61, AY: -1.02, AZ: -0.05, GX: -930.00, GY: 121.00, GZ: 23637.00

AX: -0.71, AY: -0.95, AZ: -0.05, GX: -935.00, GY: 115.00, GZ: 23632.00

AX: -0.79, AY: -0.86, AZ: -0.06, GX: -941.00, GY: 119.00, GZ: 23624.00

AX: -0.87, AY: -0.73, AZ: -0.06, GX: -933.00, GY: 122.00, GZ: 23624.00

AX: -0.92, AY: -0.63, AZ: -0.07, GX: -936.00, GY: 118.00, GZ: 23622.00

AX: -0.97, AY: -0.52, AZ: -0.07, GX: -940.00, GY: 115.00, GZ: 23625.00

AX: -1.00, AY: -0.39, AZ: -0.08, GX: -935.00, GY: 120.00, GZ: 23625.00

AX: -1.00, AY: -0.27, AZ: -0.07, GX: -935.00, GY: 115.00, GZ: 23622.00

AX: -1.01, AY: -0.13, AZ: -0.07, GX: -940.00, GY: 112.00, GZ: 23629.00

AX: -0.99, AY: -0.03, AZ: -0.08, GX: -938.00, GY: 115.00, GZ: 23624.00

AX: -0.95, AY: 0.10, AZ: -0.08, GX: -940.00, GY: 118.00, GZ: 23624.00

AX: -0.88, AY: 0.22, AZ: -0.06, GX: -932.00, GY: 114.00, GZ: 23635.00

AX: -0.84, AY: 0.32, AZ: -0.07, GX: -934.00, GY: 117.00, GZ: 23635.00

AX: -0.75, AY: 0.41, AZ: -0.06, GX: -942.00, GY: 115.00, GZ: 23635.00

AX: -0.66, AY: 0.51, AZ: -0.06, GX: -937.00, GY: 112.00, GZ: 23640.00

AX: -0.56, AY: 0.59, AZ: -0.06, GX: -935.00, GY: 112.00, GZ: 23644.00

AX: -0.46, AY: 0.65, AZ: -0.06, GX: -933.00, GY: 111.00, GZ: 23659.00

AX: -0.34, AY: 0.69, AZ: -0.06, GX: -940.00, GY: 113.00, GZ: 23652.00

AX: -0.22, AY: 0.73, AZ: -0.05, GX: -938.00, GY: 116.00, GZ: 23657.00

AX: -0.09, AY: 0.75, AZ: -0.05, GX: -935.00, GY: 113.00, GZ: 23659.00

AX: 0.03, AY: 0.74, AZ: -0.05, GX: -937.00, GY: 107.00, GZ: 23665.00

AX: 0.14, AY: 0.74, AZ: -0.04, GX: -934.00, GY: 112.00, GZ: 23655.00

AX: 0.29, AY: 0.71, AZ: -0.04, GX: -934.00, GY: 104.00, GZ: 23664.00

AX: 0.38, AY: 0.66, AZ: -0.03, GX: -939.00, GY: 111.00, GZ: 23666.00

AX: 0.50, AY: 0.61, AZ: -0.03, GX: -935.00, GY: 114.00, GZ: 23663.00

AX: 0.63, AY: 0.54, AZ: -0.02, GX: -933.00, GY: 112.00, GZ: 23657.00

AX: 0.71, AY: 0.45, AZ: -0.02, GX: -929.00, GY: 109.00, GZ: 23653.00

AX: 0.79, AY: 0.33, AZ: -0.02, GX: -929.00, GY: 112.00, GZ: 23657.00

AX: 0.87, AY: 0.23, AZ: -0.01, GX: -932.00, GY: 111.00, GZ: 23653.00

AX: 0.92, AY: 0.14, AZ: -0.02, GX: -927.00, GY: 117.00, GZ: 23648.00

AX: 0.95, AY: -0.01, AZ: -0.01, GX: -930.00, GY: 107.00, GZ: 23647.00

AX: 0.96, AY: -0.12, AZ: -0.00, GX: -935.00, GY: 117.00, GZ: 23637.00

AX: 1.00, AY: -0.24, AZ: -0.01, GX: -928.00, GY: 113.00, GZ: 23642.00

AX: 0.98, AY: -0.38, AZ: -0.01, GX: -928.00, GY: 113.00, GZ: 23647.00

AX: 0.97, AY: -0.50, AZ: -0.01, GX: -932.00, GY: 110.00, GZ: 23640.00

AX: 0.93, AY: -0.60, AZ: -0.01, GX: -922.00, GY: 113.00, GZ: 23643.00

AX: 0.88, AY: -0.74, AZ: -0.01, GX: -928.00, GY: 118.00, GZ: 23643.00

AX: 0.82, AY: -0.82, AZ: -0.02, GX: -933.00, GY: 116.00, GZ: 23644.00

AX: 0.75, AY: -0.93, AZ: -0.01, GX: -926.00, GY: 109.00, GZ: 23638.00

AX: 0.64, AY: -1.02, AZ: -0.01, GX: -932.00, GY: 122.00, GZ: 23637.00

AX: 0.57, AY: -1.08, AZ: -0.01, GX: -925.00, GY: 115.00, GZ: 23647.00

AX: 0.45, AY: -1.15, AZ: -0.01, GX: -932.00, GY: 110.00, GZ: 23659.00

AX: 0.32, AY: -1.21, AZ: -0.02, GX: -933.00, GY: 121.00, GZ: 23656.00

AX: 0.22, AY: -1.21, AZ: -0.02, GX: -926.00, GY: 114.00, GZ: 23655.00

AX: 0.08, AY: -1.24, AZ: -0.04, GX: -930.00, GY: 115.00, GZ: 23667.00

AX: -0.06, AY: -1.27, AZ: -0.04, GX: -941.00, GY: 120.00, GZ: 23664.00

AX: -0.15, AY: -1.23, AZ: -0.03, GX: -929.00, GY: 116.00, GZ: 23660.00

AX: -0.30, AY: -1.19, AZ: -0.04, GX: -927.00, GY: 120.00, GZ: 23663.00

AX: -0.42, AY: -1.16, AZ: -0.05, GX: -940.00, GY: 119.00, GZ: 23666.00

AX: -0.51, AY: -1.10, AZ: -0.05, GX: -938.00, GY: 118.00, GZ: 23665.00

AX: -0.62, AY: -1.00, AZ: -0.05, GX: -931.00, GY: 120.00, GZ: 23663.00

AX: -0.71, AY: -0.93, AZ: -0.04, GX: -934.00, GY: 119.00, GZ: 23660.00

AX: -0.80, AY: -0.84, AZ: -0.07, GX: -940.00, GY: 121.00, GZ: 23665.00

AX: -0.86, AY: -0.73, AZ: -0.06, GX: -938.00, GY: 122.00, GZ: 23666.00

AX: -0.91, AY: -0.62, AZ: -0.07, GX: -937.00, GY: 116.00, GZ: 23660.00

AX: -0.97, AY: -0.50, AZ: -0.07, GX: -938.00, GY: 114.00, GZ: 23659.00

AX: -1.02, AY: -0.38, AZ: -0.08, GX: -938.00, GY: 122.00, GZ: 23665.00

AX: -1.00, AY: -0.26, AZ: -0.07, GX: -939.00, GY: 118.00, GZ: 23662.00

AX: -1.00, AY: -0.12, AZ: -0.06, GX: -939.00, GY: 117.00, GZ: 23666.00

AX: -0.98, AY: -0.01, AZ: -0.07, GX: -940.00, GY: 113.00, GZ: 23657.00

AX: -0.95, AY: 0.12, AZ: -0.07, GX: -941.00, GY: 121.00, GZ: 23664.00

AX: -0.87, AY: 0.23, AZ: -0.07, GX: -938.00, GY: 116.00, GZ: 23673.00

AX: -0.82, AY: 0.33, AZ: -0.06, GX: -940.00, GY: 114.00, GZ: 23671.00

AX: -0.75, AY: 0.44, AZ: -0.07, GX: -942.00, GY: 116.00, GZ: 23669.00

AX: -0.65, AY: 0.53, AZ: -0.06, GX: -936.00, GY: 114.00, GZ: 23674.00

AX: -0.54, AY: 0.59, AZ: -0.06, GX: -940.00, GY: 115.00, GZ: 23667.00

AX: -0.44, AY: 0.65, AZ: -0.06, GX: -939.00, GY: 111.00, GZ: 23675.00

AX: -0.33, AY: 0.70, AZ: -0.06, GX: -935.00, GY: 113.00, GZ: 23671.00

AX: -0.20, AY: 0.74, AZ: -0.05, GX: -940.00, GY: 113.00, GZ: 23679.00

AX: -0.07, AY: 0.75, AZ: -0.05, GX: -934.00, GY: 110.00, GZ: 23676.00

AX: 0.04, AY: 0.74, AZ: -0.05, GX: -942.00, GY: 109.00, GZ: 23685.00

AX: 0.16, AY: 0.73, AZ: -0.04, GX: -935.00, GY: 115.00, GZ: 23686.00

AX: 0.32, AY: 0.71, AZ: -0.03, GX: -928.00, GY: 109.00, GZ: 23683.00

AX: 0.41, AY: 0.66, AZ: -0.03, GX: -936.00, GY: 115.00, GZ: 23682.00

AX: 0.52, AY: 0.60, AZ: -0.03, GX: -935.00, GY: 109.00, GZ: 23682.00

AX: 0.64, AY: 0.53, AZ: -0.03, GX: -938.00, GY: 113.00, GZ: 23679.00

AX: 0.73, AY: 0.45, AZ: -0.02, GX: -932.00, GY: 107.00, GZ: 23681.00

AX: 0.79, AY: 0.34, AZ: -0.01, GX: -933.00, GY: 112.00, GZ: 23677.00

AX: 0.86, AY: 0.24, AZ: -0.01, GX: -937.00, GY: 113.00, GZ: 23673.00

AX: 0.92, AY: 0.11, AZ: -0.01, GX: -932.00, GY: 117.00, GZ: 23672.00

AX: 0.97, AY: -0.04, AZ: -0.01, GX: -934.00, GY: 112.00, GZ: 23674.00

AX: 0.96, AY: -0.13, AZ: -0.01, GX: -932.00, GY: 112.00, GZ: 23675.00

AX: 0.99, AY: -0.27, AZ: -0.01, GX: -929.00, GY: 112.00, GZ: 23668.00

AX: 0.98, AY: -0.40, AZ: -0.01, GX: -935.00, GY: 114.00, GZ: 23674.00

AX: 0.97, AY: -0.52, AZ: -0.01, GX: -933.00, GY: 113.00, GZ: 23680.00

AX: 0.91, AY: -0.62, AZ: -0.01, GX: -924.00, GY: 114.00, GZ: 23681.00

AX: 0.87, AY: -0.76, AZ: -0.01, GX: -937.00, GY: 118.00, GZ: 23678.00

AX: 0.82, AY: -0.83, AZ: -0.01, GX: -930.00, GY: 116.00, GZ: 23679.00

AX: 0.73, AY: -0.95, AZ: -0.01, GX: -932.00, GY: 110.00, GZ: 23686.00

AX: 0.62, AY: -1.05, AZ: -0.02, GX: -937.00, GY: 116.00, GZ: 23691.00

AX: 0.54, AY: -1.08, AZ: -0.01, GX: -927.00, GY: 121.00, GZ: 23691.00

AX: 0.43, AY: -1.16, AZ: -0.02, GX: -929.00, GY: 117.00, GZ: 23696.00

AX: 0.29, AY: -1.24, AZ: -0.03, GX: -952.00, GY: 120.00, GZ: 23695.00

AX: 0.19, AY: -1.24, AZ: -0.03, GX: -934.00, GY: 113.00, GZ: 23699.00

AX: 0.05, AY: -1.23, AZ: -0.03, GX: -922.00, GY: 121.00, GZ: 23714.00

AX: -0.07, AY: -1.25, AZ: -0.04, GX: -942.00, GY: 116.00, GZ: 23709.00

AX: -0.18, AY: -1.24, AZ: -0.04, GX: -941.00, GY: 119.00, GZ: 23706.00

AX: -0.31, AY: -1.18, AZ: -0.04, GX: -930.00, GY: 119.00, GZ: 23707.00

AX: -0.42, AY: -1.14, AZ: -0.04, GX: -932.00, GY: 119.00, GZ: 23706.00

AX: -0.53, AY: -1.09, AZ: -0.05, GX: -942.00, GY: 120.00, GZ: 23707.00

AX: -0.65, AY: -1.00, AZ: -0.04, GX: -931.00, GY: 128.00, GZ: 23704.00

AX: -0.72, AY: -0.91, AZ: -0.05, GX: -933.00, GY: 118.00, GZ: 23704.00

AX: -0.83, AY: -0.82, AZ: -0.06, GX: -944.00, GY: 119.00, GZ: 23702.00

AX: -0.88, AY: -0.72, AZ: -0.07, GX: -937.00, GY: 118.00, GZ: 23703.00

AX: -0.94, AY: -0.59, AZ: -0.07, GX: -941.00, GY: 115.00, GZ: 23691.00

AX: -0.98, AY: -0.48, AZ: -0.06, GX: -942.00, GY: 116.00, GZ: 23690.00

AX: -1.01, AY: -0.35, AZ: -0.07, GX: -942.00, GY: 115.00, GZ: 23688.00

AX: -1.00, AY: -0.23, AZ: -0.06, GX: -941.00, GY: 116.00, GZ: 23688.00

AX: -0.99, AY: -0.08, AZ: -0.07, GX: -933.00, GY: 116.00, GZ: 23697.00

AX: -0.96, AY: 0.01, AZ: -0.06, GX: -941.00, GY: 112.00, GZ: 23693.00

AX: -0.93, AY: 0.14, AZ: -0.07, GX: -942.00, GY: 115.00, GZ: 23696.00

AX: -0.87, AY: 0.26, AZ: -0.07, GX: -939.00, GY: 116.00, GZ: 23701.00

AX: -0.80, AY: 0.36, AZ: -0.06, GX: -939.00, GY: 112.00, GZ: 23709.00

AX: -0.72, AY: 0.45, AZ: -0.06, GX: -941.00, GY: 110.00, GZ: 23706.00

AX: -0.63, AY: 0.53, AZ: -0.07, GX: -941.00, GY: 111.00, GZ: 23706.00

AX: -0.53, AY: 0.60, AZ: -0.06, GX: -945.00, GY: 114.00, GZ: 23707.00

AX: -0.40, AY: 0.67, AZ: -0.06, GX: -940.00, GY: 110.00, GZ: 23721.00

AX: -0.31, AY: 0.71, AZ: -0.06, GX: -938.00, GY: 114.00, GZ: 23718.00

AX: -0.18, AY: 0.72, AZ: -0.05, GX: -943.00, GY: 110.00, GZ: 23720.00
