AX: 0.79, AY: -4.15, AZ: -0.04, GX: -2985.00, GY: 727.00, GZ: 32767.00

AX: 0.81, AY: -4.67, AZ: -0.08, GX: -2990.00, GY: 751.00, GZ: 32767.00

AX: 0.63, AY: -5.09, AZ: -0.07, GX: -2971.00, GY: 764.00, GZ: 32767.00

AX: 0.24, AY: -5.38, AZ: -0.07, GX: -2966.00, GY: 754.00, GZ: 32767.00

AX: -0.30, AY: -5.39, AZ: -0.02, GX: -2964.00, GY: 744.00, GZ: 32767.00

AX: -0.77, AY: -5.14, AZ: -0.02, GX: -2986.00, GY: 733.00, GZ: 32767.00

AX: -1.12, AY: -4.67, AZ: 0.01, GX: -3006.00, GY: 744.00, GZ: 32767.00

AX: -1.14, AY: -4.12, AZ: 0.02, GX: -3013.00, GY: 751.00, GZ: 32767.00

AX: -0.82, AY: -3.66, AZ: 0.00, GX: -2995.00, GY: 747.00, GZ: 32767.00

AX: -0.31, AY: -3.44, AZ: -0.00, GX: -2971.00, GY: 727.00, GZ: 32767.00

AX: 0.20, AY: -3.49, AZ: 0.00, GX: -2965.00, GY: 718.00, GZ: 32767.00

AX: 0.66, AY: -3.80, AZ: 0.02, GX: -2975.00, GY: 708.00, GZ: 32767.00

AX: 0.82, AY: -4.26, AZ: 0.03, GX: -2988.00, GY: 733.00, GZ: 32767.00

AX: 0.77, AY: -4.74, AZ: 0.00, GX: -2980.00, GY: 758.00, GZ: 32767.00

AX: 0.48, AY: -5.15, AZ: -0.04, GX: -2971.00, GY: 761.00, GZ: 32767.00

AX: 0.02, AY: -5.37, AZ: -0.03, GX: -2961.00, GY: 753.00, GZ: 32767.00

AX: -0.51, AY: -5.36, AZ: -0.09, GX: -2969.00, GY: 742.00, GZ: 32767.00

AX: -0.92, AY: -5.07, AZ: -0.06, GX: -2987.00, GY: 732.00, GZ: 32767.00

AX: -1.19, AY: -4.57, AZ: -0.06, GX: -3010.00, GY: 742.00, GZ: 32767.00

AX: -1.06, AY: -4.02, AZ: 0.00, GX: -3013.00, GY: 754.00, GZ: 32767.00

AX: -0.75, AY: -3.56, AZ: -0.00, GX: -2986.00, GY: 747.00, GZ: 32767.00

AX: -0.19, AY: -3.42, AZ: -0.00, GX: -2982.00, GY: 728.00, GZ: 32767.00

AX: 0.31, AY: -3.52, AZ: -0.03, GX: -2966.00, GY: 712.00, GZ: 32767.00

AX: 0.68, AY: -3.91, AZ: -0.04, GX: -2979.00, GY: 714.00, GZ: 32767.00

AX: 0.83, AY: -4.40, AZ: -0.06, GX: -2988.00, GY: 737.00, GZ: 32767.00

AX: 0.69, AY: -4.86, AZ: -0.02, GX: -2978.00, GY: 765.00, GZ: 32767.00

AX: 0.42, AY: -5.24, AZ: -0.01, GX: -2965.00, GY: 756.00, GZ: 32767.00

AX: -0.10, AY: -5.39, AZ: 0.02, GX: -2957.00, GY: 753.00, GZ: 32767.00

AX: -0.62, AY: -5.30, AZ: 0.00, GX: -2974.00, GY: 741.00, GZ: 32767.00

AX: -0.98, AY: -4.95, AZ: -0.02, GX: -3003.00, GY: 730.00, GZ: 32767.00

AX: -1.20, AY: -4.44, AZ: -0.02, GX: -3012.00, GY: 753.00, GZ: 32767.00

AX: -1.02, AY: -3.91, AZ: -0.02, GX: -2997.00, GY: 749.00, GZ: 32767.00

AX: -0.63, AY: -3.53, AZ: -0.00, GX: -2981.00, GY: 744.00, GZ: 32767.00

AX: -0.09, AY: -3.42, AZ: 0.02, GX: -2972.00, GY: 725.00, GZ: 32767.00

AX: 0.43, AY: -3.67, AZ: 0.01, GX: -2968.00, GY: 711.00, GZ: 32767.00

AX: 0.72, AY: -3.98, AZ: -0.01, GX: -2991.00, GY: 728.00, GZ: 32767.00

AX: 0.83, AY: -4.58, AZ: -0.05, GX: -2987.00, GY: 739.00, GZ: 32767.00

AX: 0.65, AY: -5.01, AZ: -0.07, GX: -2976.00, GY: 766.00, GZ: 32767.00

AX: 0.30, AY: -5.31, AZ: -0.07, GX: -2959.00, GY: 754.00, GZ: 32767.00

AX: -0.22, AY: -5.39, AZ: -0.07, GX: -2965.00, GY: 746.00, GZ: 32767.00

AX: -0.70, AY: -5.20, AZ: -0.02, GX: -2976.00, GY: 740.00, GZ: 32767.00

AX: -1.07, AY: -4.77, AZ: -0.02, GX: -3002.00, GY: 743.00, GZ: 32767.00

AX: -1.16, AY: -4.23, AZ: 0.01, GX: -3015.00, GY: 751.00, GZ: 32767.00

AX: -0.96, AY: -3.71, AZ: 0.01, GX: -2991.00, GY: 752.00, GZ: 32767.00

AX: -0.52, AY: -3.44, AZ: 0.01, GX: -2978.00, GY: 739.00, GZ: 32767.00

AX: 0.04, AY: -3.44, AZ: -0.01, GX: -2969.00, GY: 716.00, GZ: 32767.00

AX: 0.51, AY: -3.74, AZ: -0.00, GX: -2976.00, GY: 708.00, GZ: 32767.00

AX: 0.79, AY: -4.19, AZ: 0.02, GX: -2985.00, GY: 731.00, GZ: 32767.00

AX: 0.81, AY: -4.71, AZ: 0.02, GX: -2987.00, GY: 747.00, GZ: 32767.00

AX: 0.60, AY: -5.13, AZ: 0.01, GX: -2970.00, GY: 762.00, GZ: 32767.00

AX: 0.21, AY: -5.38, AZ: -0.02, GX: -2965.00, GY: 756.00, GZ: 32767.00

AX: -0.32, AY: -5.37, AZ: -0.04, GX: -2962.00, GY: 746.00, GZ: 32767.00

AX: -0.80, AY: -5.10, AZ: -0.08, GX: -2986.00, GY: 734.00, GZ: 32767.00

AX: -1.11, AY: -4.64, AZ: -0.06, GX: -3010.00, GY: 751.00, GZ: 32767.00

AX: -1.16, AY: -4.08, AZ: -0.03, GX: -3014.00, GY: 751.00, GZ: 32767.00

AX: -0.87, AY: -3.65, AZ: 0.02, GX: -2996.00, GY: 750.00, GZ: 32767.00

AX: -0.43, AY: -3.42, AZ: 0.00, GX: -2977.00, GY: 734.00, GZ: 32767.00

AX: 0.15, AY: -3.49, AZ: -0.01, GX: -2965.00, GY: 717.00, GZ: 32767.00

AX: 0.59, AY: -3.81, AZ: -0.06, GX: -2981.00, GY: 717.00, GZ: 32767.00

AX: 0.79, AY: -4.27, AZ: -0.05, GX: -2985.00, GY: 731.00, GZ: 32767.00

AX: 0.80, AY: -4.78, AZ: -0.06, GX: -2981.00, GY: 756.00, GZ: 32767.00

AX: 0.50, AY: -5.19, AZ: -0.02, GX: -2965.00, GY: 765.00, GZ: 32767.00

AX: 0.11, AY: -5.40, AZ: -0.01, GX: -2961.00, GY: 754.00, GZ: 32767.00

AX: -0.42, AY: -5.36, AZ: 0.02, GX: -2976.00, GY: 739.00, GZ: 32767.00

AX: -0.89, AY: -5.04, AZ: -0.03, GX: -2994.00, GY: 736.00, GZ: 32767.00

AX: -1.13, AY: -4.52, AZ: -0.02, GX: -3012.00, GY: 737.00, GZ: 32767.00

AX: -1.12, AY: -3.97, AZ: 0.01, GX: -3009.00, GY: 757.00, GZ: 32767.00

AX: -0.79, AY: -3.57, AZ: 0.01, GX: -2992.00, GY: 742.00, GZ: 32767.00

AX: -0.29, AY: -3.41, AZ: -0.02, GX: -2967.00, GY: 732.00, GZ: 32767.00

AX: 0.25, AY: -3.56, AZ: -0.03, GX: -2972.00, GY: 709.00, GZ: 32767.00

AX: 0.67, AY: -3.93, AZ: -0.01, GX: -2981.00, GY: 713.00, GZ: 32767.00

AX: 0.80, AY: -4.40, AZ: -0.01, GX: -2982.00, GY: 741.00, GZ: 32767.00

AX: 0.76, AY: -4.88, AZ: 0.02, GX: -2976.00, GY: 753.00, GZ: 32767.00

AX: 0.43, AY: -5.24, AZ: 0.01, GX: -2964.00, GY: 769.00, GZ: 32767.00

AX: -0.10, AY: -5.40, AZ: -0.00, GX: -2964.00, GY: 750.00, GZ: 32767.00

AX: -0.63, AY: -5.28, AZ: -0.03, GX: -2972.00, GY: 733.00, GZ: 32767.00

AX: -1.03, AY: -4.93, AZ: -0.06, GX: -2996.00, GY: 736.00, GZ: 32767.00

AX: -1.16, AY: -4.41, AZ: -0.04, GX: -3011.00, GY: 749.00, GZ: 32767.00

AX: -1.04, AY: -3.89, AZ: -0.02, GX: -3003.00, GY: 753.00, GZ: 32767.00

AX: -0.58, AY: -3.50, AZ: -0.00, GX: -2981.00, GY: 747.00, GZ: 32767.00

AX: -0.06, AY: -3.41, AZ: -0.00, GX: -2969.00, GY: 715.00, GZ: 32767.00

AX: 0.44, AY: -3.60, AZ: -0.02, GX: -2975.00, GY: 711.00, GZ: 32767.00

AX: 0.74, AY: -4.02, AZ: -0.06, GX: -2990.00, GY: 720.00, GZ: 32767.00

AX: 0.82, AY: -4.52, AZ: -0.08, GX: -2981.00, GY: 745.00, GZ: 32767.00

AX: 0.64, AY: -5.01, AZ: -0.07, GX: -2977.00, GY: 770.00, GZ: 32767.00

AX: 0.27, AY: -5.33, AZ: -0.03, GX: -2964.00, GY: 763.00, GZ: 32767.00

AX: -0.22, AY: -5.40, AZ: -0.01, GX: -2961.00, GY: 747.00, GZ: 32767.00

AX: -0.73, AY: -5.23, AZ: 0.01, GX: -2979.00, GY: 736.00, GZ: 32767.00

AX: -1.09, AY: -4.81, AZ: 0.02, GX: -3002.00, GY: 731.00, GZ: 32767.00

AX: -1.17, AY: -4.28, AZ: -0.00, GX: -3008.00, GY: 758.00, GZ: 32767.00

AX: -0.93, AY: -3.79, AZ: 0.01, GX: -3002.00, GY: 748.00, GZ: 32767.00

AX: -0.49, AY: -3.47, AZ: -0.01, GX: -2978.00, GY: 739.00, GZ: 32767.00

AX: 0.08, AY: -3.44, AZ: 0.01, GX: -2966.00, GY: 719.00, GZ: 32767.00

AX: 0.52, AY: -3.68, AZ: 0.03, GX: -2974.00, GY: 712.00, GZ: 32767.00

AX: 0.80, AY: -4.10, AZ: 0.01, GX: -2989.00, GY: 731.00, GZ: 32767.00

AX: 0.81, AY: -4.60, AZ: -0.01, GX: -2985.00, GY: 747.00, GZ: 32767.00

AX: 0.56, AY: -5.06, AZ: -0.04, GX: -2969.00, GY: 768.00, GZ: 32767.00

AX: 0.18, AY: -5.35, AZ: -0.08, GX: -2965.00, GY: 756.00, GZ: 32767.00

AX: -0.35, AY: -5.40, AZ: -0.06, GX: -2967.00, GY: 742.00, GZ: 32767.00

AX: -0.84, AY: -5.18, AZ: -0.07, GX: -2987.00, GY: 735.00, GZ: 32767.00

AX: -1.11, AY: -4.72, AZ: -0.03, GX: -3005.00, GY: 744.00, GZ: 32767.00

AX: -1.17, AY: -4.17, AZ: -0.00, GX: -3016.00, GY: 751.00, GZ: 32767.00

AX: -0.84, AY: -3.67, AZ: 0.02, GX: -2998.00, GY: 754.00, GZ: 32767.00

AX: -0.37, AY: -3.44, AZ: -0.00, GX: -2975.00, GY: 730.00, GZ: 32767.00

AX: 0.18, AY: -3.47, AZ: -0.02, GX: -2963.00, GY: 713.00, GZ: 32767.00

AX: 0.61, AY: -3.84, AZ: -0.04, GX: -2974.00, GY: 716.00, GZ: 32767.00

AX: 0.81, AY: -4.33, AZ: -0.01, GX: -2983.00, GY: 727.00, GZ: 32767.00

AX: 0.78, AY: -4.83, AZ: -0.01, GX: -2982.00, GY: 760.00, GZ: 32767.00

AX: 0.50, AY: -5.23, AZ: 0.02, GX: -2977.00, GY: 770.00, GZ: 32767.00

AX: 0.08, AY: -5.41, AZ: 0.00, GX: -2955.00, GY: 750.00, GZ: 32767.00

AX: -0.45, AY: -5.34, AZ: -0.01, GX: -2979.00, GY: 739.00, GZ: 32767.00

AX: -0.92, AY: -4.99, AZ: -0.02, GX: -2985.00, GY: 733.00, GZ: 32767.00

AX: -1.16, AY: -4.48, AZ: -0.05, GX: -3005.00, GY: 741.00, GZ: 32767.00

AX: -1.09, AY: -3.95, AZ: -0.03, GX: -3013.00, GY: 760.00, GZ: 32767.00

AX: -0.77, AY: -3.55, AZ: 0.00, GX: -2987.00, GY: 744.00, GZ: 32767.00

AX: -0.23, AY: -3.42, AZ: 0.00, GX: -2976.00, GY: 728.00, GZ: 32767.00

AX: 0.26, AY: -3.57, AZ: -0.00, GX: -2972.00, GY: 712.00, GZ: 32767.00

AX: 0.65, AY: -3.94, AZ: -0.03, GX: -2981.00, GY: 714.00, GZ: 32767.00

AX: 0.83, AY: -4.42, AZ: -0.06, GX: -2986.00, GY: 741.00, GZ: 32767.00

AX: 0.72, AY: -4.91, AZ: -0.08, GX: -2978.00, GY: 763.00, GZ: 32767.00

AX: 0.43, AY: -5.24, AZ: -0.07, GX: -2962.00, GY: 767.00, GZ: 32767.00

AX: -0.05, AY: -5.42, AZ: -0.03, GX: -2960.00, GY: 750.00, GZ: 32767.00

AX: -0.58, AY: -5.28, AZ: -0.00, GX: -2969.00, GY: 741.00, GZ: 32767.00

AX: -0.98, AY: -4.91, AZ: 0.02, GX: -2999.00, GY: 735.00, GZ: 32767.00

AX: -1.18, AY: -4.39, AZ: 0.02, GX: -3014.00, GY: 745.00, GZ: 32767.00

AX: -1.05, AY: -3.83, AZ: -0.00, GX: -2998.00, GY: 760.00, GZ: 32767.00

AX: -0.64, AY: -3.49, AZ: 0.01, GX: -2979.00, GY: 742.00, GZ: 32767.00

AX: -0.13, AY: -3.41, AZ: -0.01, GX: -2969.00, GY: 721.00, GZ: 32767.00

AX: 0.38, AY: -3.64, AZ: 0.01, GX: -2978.00, GY: 716.00, GZ: 32767.00

AX: 0.72, AY: -4.07, AZ: 0.02, GX: -2988.00, GY: 717.00, GZ: 32767.00

AX: 0.83, AY: -4.57, AZ: 0.01, GX: -2986.00, GY: 744.00, GZ: 32767.00

AX: 0.69, AY: -5.02, AZ: -0.02, GX: -2984.00, GY: 762.00, GZ: 32767.00

AX: 0.33, AY: -5.30, AZ: -0.04, GX: -2955.00, GY: 758.00, GZ: 32767.00

AX: -0.16, AY: -5.40, AZ: -0.08, GX: -2966.00, GY: 742.00, GZ: 32767.00

AX: -0.68, AY: -5.20, AZ: -0.06, GX: -2979.00, GY: 735.00, GZ: 32767.00

AX: -1.07, AY: -4.79, AZ: -0.07, GX: -3000.00, GY: 743.00, GZ: 32767.00

AX: -1.14, AY: -4.26, AZ: -0.01, GX: -3016.00, GY: 748.00, GZ: 32767.00

AX: -1.03, AY: -3.76, AZ: -0.01, GX: -3001.00, GY: 757.00, GZ: 32767.00

AX: -0.52, AY: -3.45, AZ: 0.00, GX: -2976.00, GY: 730.00, GZ: 32767.00

AX: -0.02, AY: -3.43, AZ: 0.01, GX: -2968.00, GY: 719.00, GZ: 32767.00

AX: 0.46, AY: -3.69, AZ: -0.00, GX: -2974.00, GY: 718.00, GZ: 32767.00

AX: 0.78, AY: -4.14, AZ: -0.03, GX: -2984.00, GY: 725.00, GZ: 32767.00

AX: 0.81, AY: -4.67, AZ: -0.07, GX: -2989.00, GY: 755.00, GZ: 32767.00

AX: 0.64, AY: -5.09, AZ: -0.07, GX: -2969.00, GY: 766.00, GZ: 32767.00

AX: 0.24, AY: -5.38, AZ: -0.08, GX: -2965.00, GY: 759.00, GZ: 32767.00

AX: -0.29, AY: -5.40, AZ: -0.03, GX: -2964.00, GY: 742.00, GZ: 32767.00

AX: -0.86, AY: -5.15, AZ: -0.02, GX: -2986.00, GY: 736.00, GZ: 32767.00

AX: -1.12, AY: -4.68, AZ: 0.02, GX: -3008.00, GY: 744.00, GZ: 32767.00

AX: -1.14, AY: -4.13, AZ: 0.01, GX: -3012.00, GY: 749.00, GZ: 32767.00

AX: -0.83, AY: -3.67, AZ: 0.00, GX: -2998.00, GY: 754.00, GZ: 32767.00

AX: -0.32, AY: -3.43, AZ: -0.00, GX: -2973.00, GY: 731.00, GZ: 32767.00

AX: 0.20, AY: -3.49, AZ: -0.01, GX: -2968.00, GY: 713.00, GZ: 32767.00

AX: 0.65, AY: -3.80, AZ: 0.01, GX: -2972.00, GY: 715.00, GZ: 32767.00

AX: 0.82, AY: -4.26, AZ: 0.02, GX: -2984.00, GY: 732.00, GZ: 32767.00

AX: 0.78, AY: -4.75, AZ: 0.01, GX: -2983.00, GY: 759.00, GZ: 32767.00

AX: 0.48, AY: -5.14, AZ: -0.01, GX: -2970.00, GY: 764.00, GZ: 32767.00

AX: 0.02, AY: -5.36, AZ: -0.04, GX: -2958.00, GY: 750.00, GZ: 32767.00

AX: -0.50, AY: -5.36, AZ: -0.08, GX: -2971.00, GY: 741.00, GZ: 32767.00

AX: -0.92, AY: -5.07, AZ: -0.05, GX: -2992.00, GY: 733.00, GZ: 32767.00

AX: -1.17, AY: -4.58, AZ: -0.06, GX: -3009.00, GY: 745.00, GZ: 32767.00

AX: -1.07, AY: -4.02, AZ: -0.00, GX: -3009.00, GY: 753.00, GZ: 32767.00

AX: -0.75, AY: -3.57, AZ: -0.00, GX: -2985.00, GY: 743.00, GZ: 32767.00

AX: -0.20, AY: -3.42, AZ: 0.00, GX: -2975.00, GY: 726.00, GZ: 32767.00

AX: 0.30, AY: -3.52, AZ: -0.04, GX: -2971.00, GY: 710.00, GZ: 32767.00

AX: 0.68, AY: -3.90, AZ: -0.05, GX: -2985.00, GY: 716.00, GZ: 32767.00

AX: 0.84, AY: -4.40, AZ: -0.06, GX: -2990.00, GY: 739.00, GZ: 32767.00

AX: 0.71, AY: -4.87, AZ: -0.02, GX: -2976.00, GY: 763.00, GZ: 32767.00

AX: 0.42, AY: -5.25, AZ: -0.02, GX: -2965.00, GY: 761.00, GZ: 32767.00

AX: -0.10, AY: -5.38, AZ: 0.02, GX: -2958.00, GY: 756.00, GZ: 32767.00

AX: -0.61, AY: -5.30, AZ: 0.01, GX: -2977.00, GY: 740.00, GZ: 32767.00

AX: -0.98, AY: -4.95, AZ: 0.00, GX: -3001.00, GY: 736.00, GZ: 32767.00

AX: -1.19, AY: -4.44, AZ: -0.02, GX: -3009.00, GY: 756.00, GZ: 32767.00

AX: -1.02, AY: -3.92, AZ: -0.02, GX: -3003.00, GY: 747.00, GZ: 32767.00

AX: -0.62, AY: -3.52, AZ: -0.01, GX: -2979.00, GY: 747.00, GZ: 32767.00

AX: -0.10, AY: -3.42, AZ: 0.01, GX: -2968.00, GY: 721.00, GZ: 32767.00

AX: 0.43, AY: -3.57, AZ: 0.01, GX: -2969.00, GY: 707.00, GZ: 32767.00

AX: 0.72, AY: -3.98, AZ: -0.02, GX: -2983.00, GY: 723.00, GZ: 32767.00

AX: 0.84, AY: -4.48, AZ: -0.05, GX: -2991.00, GY: 736.00, GZ: 32767.00

AX: 0.65, AY: -5.02, AZ: -0.08, GX: -2978.00, GY: 765.00, GZ: 32767.00

AX: 0.31, AY: -5.32, AZ: -0.07, GX: -2964.00, GY: 757.00, GZ: 32767.00

AX: -0.22, AY: -5.38, AZ: -0.07, GX: -2962.00, GY: 750.00, GZ: 32767.00

AX: -0.70, AY: -5.20, AZ: -0.02, GX: -2980.00, GY: 739.00, GZ: 32767.00

AX: -1.07, AY: -4.78, AZ: -0.01, GX: -3004.00, GY: 736.00, GZ: 32767.00

AX: -1.17, AY: -4.23, AZ: 0.03, GX: -3011.00, GY: 749.00, GZ: 32767.00

AX: -0.96, AY: -3.70, AZ: 0.01, GX: -2997.00, GY: 751.00, GZ: 32767.00

AX: -0.52, AY: -3.45, AZ: 0.01, GX: -2977.00, GY: 738.00, GZ: 32767.00

AX: 0.03, AY: -3.44, AZ: -0.01, GX: -2970.00, GY: 721.00, GZ: 32767.00

AX: 0.51, AY: -3.75, AZ: -0.01, GX: -2975.00, GY: 709.00, GZ: 32767.00

AX: 0.78, AY: -4.20, AZ: 0.00, GX: -2989.00, GY: 728.00, GZ: 32767.00

AX: 0.82, AY: -4.71, AZ: 0.02, GX: -2988.00, GY: 749.00, GZ: 32767.00

AX: 0.61, AY: -5.13, AZ: 0.01, GX: -2971.00, GY: 763.00, GZ: 32767.00

AX: 0.20, AY: -5.38, AZ: -0.02, GX: -2963.00, GY: 755.00, GZ: 32767.00

AX: -0.33, AY: -5.37, AZ: -0.04, GX: -2965.00, GY: 744.00, GZ: 32767.00

AX: -0.79, AY: -5.10, AZ: -0.07, GX: -2984.00, GY: 731.00, GZ: 32767.00

AX: -1.11, AY: -4.64, AZ: -0.04, GX: -3007.00, GY: 749.00, GZ: 32767.00

AX: -1.16, AY: -4.09, AZ: -0.04, GX: -3013.00, GY: 745.00, GZ: 32767.00

AX: -0.87, AY: -3.64, AZ: 0.01, GX: -2987.00, GY: 755.00, GZ: 32767.00

AX: -0.41, AY: -3.43, AZ: 0.02, GX: -2974.00, GY: 736.00, GZ: 32767.00

AX: 0.15, AY: -3.49, AZ: -0.02, GX: -2964.00, GY: 713.00, GZ: 32767.00

AX: 0.59, AY: -3.82, AZ: -0.04, GX: -2975.00, GY: 711.00, GZ: 32767.00

AX: 0.80, AY: -4.27, AZ: -0.05, GX: -2988.00, GY: 730.00, GZ: 32767.00

AX: 0.80, AY: -4.78, AZ: -0.06, GX: -2981.00, GY: 757.00, GZ: 32767.00

AX: 0.52, AY: -5.19, AZ: -0.02, GX: -2969.00, GY: 769.00, GZ: 32767.00

AX: 0.11, AY: -5.41, AZ: -0.01, GX: -2960.00, GY: 756.00, GZ: 32767.00

AX: -0.42, AY: -5.36, AZ: 0.03, GX: -2971.00, GY: 742.00, GZ: 32767.00

AX: -0.88, AY: -5.04, AZ: 0.01, GX: -2991.00, GY: 733.00, GZ: 32767.00

AX: -1.15, AY: -4.52, AZ: -0.01, GX: -3009.00, GY: 750.00, GZ: 32767.00

AX: -1.12, AY: -3.96, AZ: -0.01, GX: -3006.00, GY: 753.00, GZ: 32767.00

AX: -0.79, AY: -3.57, AZ: -0.01, GX: -2991.00, GY: 745.00, GZ: 32767.00

AX: -0.28, AY: -3.41, AZ: -0.01, GX: -2974.00, GY: 736.00, GZ: 32767.00

AX: 0.25, AY: -3.57, AZ: -0.03, GX: -2971.00, GY: 713.00, GZ: 32767.00

AX: 0.67, AY: -3.93, AZ: -0.01, GX: -2985.00, GY: 706.00, GZ: 32767.00

AX: 0.80, AY: -4.40, AZ: -0.00, GX: -2986.00, GY: 742.00, GZ: 32767.00

AX: 0.76, AY: -4.88, AZ: 0.03, GX: -2979.00, GY: 759.00, GZ: 32767.00

AX: 0.43, AY: -5.24, AZ: 0.02, GX: -2956.00, GY: 768.00, GZ: 32767.00

AX: -0.01, AY: -5.40, AZ: -0.02, GX: -2966.00, GY: 753.00, GZ: 32767.00

AX: -0.54, AY: -5.28, AZ: -0.02, GX: -2969.00, GY: 736.00, GZ: 32767.00

AX: -0.96, AY: -4.94, AZ: -0.06, GX: -3000.00, GY: 741.00, GZ: 32767.00

AX: -1.18, AY: -4.42, AZ: -0.04, GX: -3011.00, GY: 746.00, GZ: 32767.00

AX: -1.03, AY: -3.87, AZ: -0.02, GX: -2999.00, GY: 752.00, GZ: 32767.00

AX: -0.58, AY: -3.51, AZ: 0.00, GX: -2979.00, GY: 744.00, GZ: 32767.00

AX: -0.06, AY: -3.41, AZ: 0.00, GX: -2962.00, GY: 723.00, GZ: 32767.00

AX: 0.44, AY: -3.60, AZ: -0.03, GX: -2971.00, GY: 712.00, GZ: 32767.00

AX: 0.75, AY: -4.03, AZ: -0.06, GX: -2986.00, GY: 718.00, GZ: 32767.00

AX: 0.81, AY: -4.53, AZ: -0.07, GX: -2979.00, GY: 743.00, GZ: 32767.00

AX: 0.64, AY: -5.01, AZ: -0.06, GX: -2977.00, GY: 765.00, GZ: 32767.00

AX: 0.27, AY: -5.32, AZ: -0.02, GX: -2955.00, GY: 762.00, GZ: 32767.00

AX: -0.23, AY: -5.41, AZ: 0.00, GX: -2962.00, GY: 747.00, GZ: 32767.00

AX: -0.73, AY: -5.24, AZ: 0.02, GX: -2981.00, GY: 738.00, GZ: 32767.00

AX: -1.09, AY: -4.81, AZ: 0.02, GX: -3002.00, GY: 734.00, GZ: 32767.00

AX: -1.17, AY: -4.28, AZ: -0.01, GX: -3013.00, GY: 758.00, GZ: 32767.00

AX: -0.92, AY: -3.79, AZ: -0.01, GX: -3002.00, GY: 747.00, GZ: 32767.00

AX: -0.49, AY: -3.46, AZ: -0.00, GX: -2973.00, GY: 741.00, GZ: 32767.00

AX: 0.09, AY: -3.45, AZ: 0.01, GX: -2970.00, GY: 717.00, GZ: 32767.00

AX: 0.52, AY: -3.68, AZ: 0.03, GX: -2974.00, GY: 711.00, GZ: 32767.00

AX: 0.79, AY: -4.11, AZ: 0.00, GX: -2985.00, GY: 732.00, GZ: 32767.00
