AX: -0.98, AY: 0.19, AZ: -0.07, GX: -568.00, GY: 35.00, GZ: 11762.00

AX: -0.97, AY: 0.25, AZ: -0.08, GX: -566.00, GY: 38.00, GZ: 11765.00

AX: -0.93, AY: 0.30, AZ: -0.06, GX: -564.00, GY: 36.00, GZ: 11762.00

AX: -0.94, AY: 0.36, AZ: -0.07, GX: -573.00, GY: 39.00, GZ: 11761.00

AX: -0.87, AY: 0.43, AZ: -0.07, GX: -566.00, GY: 33.00, GZ: 11764.00

AX: -0.89, AY: 0.45, AZ: -0.07, GX: -570.00, GY: 39.00, GZ: 11764.00

AX: -0.82, AY: 0.54, AZ: -0.07, GX: -571.00, GY: 37.00, GZ: 11761.00

AX: -0.79, AY: 0.58, AZ: -0.06, GX: -563.00, GY: 33.00, GZ: 11763.00

AX: -0.76, AY: 0.61, AZ: -0.07, GX: -571.00, GY: 39.00, GZ: 11756.00

AX: -0.69, AY: 0.66, AZ: -0.06, GX: -568.00, GY: 31.00, GZ: 11757.00

AX: -0.67, AY: 0.72, AZ: -0.06, GX: -560.00, GY: 39.00, GZ: 11763.00

AX: -0.61, AY: 0.73, AZ: -0.06, GX: -573.00, GY: 39.00, GZ: 11761.00

AX: -0.57, AY: 0.79, AZ: -0.07, GX: -568.00, GY: 38.00, GZ: 11760.00

AX: -0.49, AY: 0.80, AZ: -0.06, GX: -565.00, GY: 26.00, GZ: 11753.00

AX: -0.48, AY: 0.84, AZ: -0.06, GX: -566.00, GY: 41.00, GZ: 11761.00

AX: -0.36, AY: 0.87, AZ: -0.05, GX: -566.00, GY: 30.00, GZ: 11766.00

AX: -0.36, AY: 0.87, AZ: -0.06, GX: -567.00, GY: 38.00, GZ: 11769.00

AX: -0.28, AY: 0.91, AZ: -0.06, GX: -568.00, GY: 35.00, GZ: 11768.00

AX: -0.20, AY: 0.93, AZ: -0.05, GX: -566.00, GY: 27.00, GZ: 11774.00

AX: -0.16, AY: 0.93, AZ: -0.05, GX: -569.00, GY: 37.00, GZ: 11773.00

AX: -0.10, AY: 0.92, AZ: -0.04, GX: -569.00, GY: 35.00, GZ: 11774.00

AX: -0.01, AY: 0.94, AZ: -0.05, GX: -565.00, GY: 31.00, GZ: 11778.00

AX: 0.02, AY: 0.93, AZ: -0.05, GX: -565.00, GY: 34.00, GZ: 11779.00

AX: 0.10, AY: 0.94, AZ: -0.04, GX: -566.00, GY: 39.00, GZ: 11783.00

AX: 0.17, AY: 0.92, AZ: -0.04, GX: -568.00, GY: 29.00, GZ: 11785.00

AX: 0.20, AY: 0.92, AZ: -0.04, GX: -565.00, GY: 39.00, GZ: 11784.00

AX: 0.29, AY: 0.88, AZ: -0.03, GX: -571.00, GY: 31.00, GZ: 11793.00

AX: 0.34, AY: 0.87, AZ: -0.03, GX: -569.00, GY: 34.00, GZ: 11788.00

AX: 0.41, AY: 0.85, AZ: -0.04, GX: -563.00, GY: 38.00, GZ: 11787.00

AX: 0.47, AY: 0.81, AZ: -0.03, GX: -572.00, GY: 32.00, GZ: 11792.00

AX: 0.52, AY: 0.79, AZ: -0.03, GX: -569.00, GY: 36.00, GZ: 11786.00

AX: 0.57, AY: 0.76, AZ: -0.02, GX: -564.00, GY: 38.00, GZ: 11790.00

AX: 0.62, AY: 0.70, AZ: -0.03, GX: -568.00, GY: 33.00, GZ: 11796.00

AX: 0.66, AY: 0.69, AZ: -0.02, GX: -563.00, GY: 38.00, GZ: 11786.00

AX: 0.72, AY: 0.62, AZ: -0.02, GX: -565.00, GY: 36.00, GZ: 11791.00

AX: 0.76, AY: 0.58, AZ: -0.02, GX: -570.00, GY: 31.00, GZ: 11781.00

AX: 0.78, AY: 0.55, AZ: -0.02, GX: -564.00, GY: 36.00, GZ: 11777.00

AX: 0.84, AY: 0.47, AZ: -0.02, GX: -566.00, GY: 27.00, GZ: 11779.00

AX: 0.86, AY: 0.43, AZ: -0.01, GX: -569.00, GY: 33.00, GZ: 11774.00

AX: 0.89, AY: 0.39, AZ: -0.01, GX: -559.00, GY: 38.00, GZ: 11769.00

AX: 0.92, AY: 0.31, AZ: -0.01, GX: -566.00, GY: 30.00, GZ: 11767.00

AX: 0.93, AY: 0.27, AZ: -0.01, GX: -566.00, GY: 37.00, GZ: 11762.00

AX: 0.97, AY: 0.20, AZ: -0.01, GX: -561.00, GY: 28.00, GZ: 11759.00

AX: 0.95, AY: 0.12, AZ: -0.01, GX: -571.00, GY: 42.00, GZ: 11755.00

AX: 1.00, AY: 0.10, AZ: -0.01, GX: -561.00, GY: 31.00, GZ: 11753.00

AX: 0.97, AY: 0.02, AZ: -0.00, GX: -563.00, GY: 38.00, GZ: 11753.00

AX: 1.02, AY: -0.06, AZ: -0.01, GX: -568.00, GY: 28.00, GZ: 11744.00

AX: 0.97, AY: -0.09, AZ: 0.00, GX: -560.00, GY: 39.00, GZ: 11745.00

AX: 1.00, AY: -0.19, AZ: -0.01, GX: -566.00, GY: 31.00, GZ: 11745.00

AX: 0.95, AY: -0.23, AZ: -0.00, GX: -567.00, GY: 41.00, GZ: 11747.00

AX: 1.00, AY: -0.29, AZ: -0.01, GX: -561.00, GY: 29.00, GZ: 11747.00

AX: 0.93, AY: -0.38, AZ: -0.01, GX: -566.00, GY: 37.00, GZ: 11746.00

AX: 0.93, AY: -0.42, AZ: -0.01, GX: -572.00, GY: 41.00, GZ: 11746.00

AX: 0.91, AY: -0.48, AZ: -0.01, GX: -562.00, GY: 27.00, GZ: 11749.00

AX: 0.86, AY: -0.55, AZ: -0.01, GX: -567.00, GY: 43.00, GZ: 11756.00

AX: 0.86, AY: -0.58, AZ: -0.02, GX: -562.00, GY: 30.00, GZ: 11754.00

AX: 0.81, AY: -0.63, AZ: -0.01, GX: -556.00, GY: 41.00, GZ: 11754.00

AX: 0.78, AY: -0.71, AZ: -0.02, GX: -571.00, GY: 36.00, GZ: 11754.00

AX: 0.72, AY: -0.73, AZ: -0.01, GX: -563.00, GY: 36.00, GZ: 11755.00

AX: 0.71, AY: -0.79, AZ: -0.02, GX: -567.00, GY: 32.00, GZ: 11760.00

AX: 0.63, AY: -0.83, AZ: -0.01, GX: -567.00, GY: 40.00, GZ: 11768.00

AX: 0.62, AY: -0.85, AZ: -0.02, GX: -565.00, GY: 34.00, GZ: 11768.00

AX: 0.55, AY: -0.92, AZ: -0.02, GX: -567.00, GY: 39.00, GZ: 11771.00

AX: 0.48, AY: -0.93, AZ: -0.01, GX: -568.00, GY: 42.00, GZ: 11771.00

AX: 0.47, AY: -0.96, AZ: -0.02, GX: -563.00, GY: 29.00, GZ: 11773.00

AX: 0.36, AY: -0.98, AZ: -0.02, GX: -563.00, GY: 44.00, GZ: 11786.00

AX: 0.33, AY: -1.02, AZ: -0.03, GX: -571.00, GY: 37.00, GZ: 11778.00

AX: 0.28, AY: -1.02, AZ: -0.02, GX: -565.00, GY: 35.00, GZ: 11789.00

AX: 0.20, AY: -1.05, AZ: -0.03, GX: -574.00, GY: 44.00, GZ: 11790.00

AX: 0.14, AY: -1.04, AZ: -0.03, GX: -566.00, GY: 34.00, GZ: 11791.00

AX: 0.09, AY: -1.06, AZ: -0.03, GX: -566.00, GY: 44.00, GZ: 11795.00

AX: 0.01, AY: -1.07, AZ: -0.03, GX: -567.00, GY: 38.00, GZ: 11799.00

AX: -0.03, AY: -1.05, AZ: -0.03, GX: -563.00, GY: 35.00, GZ: 11796.00

AX: -0.10, AY: -1.07, AZ: -0.03, GX: -566.00, GY: 35.00, GZ: 11800.00

AX: -0.19, AY: -1.04, AZ: -0.03, GX: -564.00, GY: 46.00, GZ: 11797.00

AX: -0.20, AY: -1.05, AZ: -0.04, GX: -569.00, GY: 34.00, GZ: 11793.00

AX: -0.30, AY: -1.01, AZ: -0.04, GX: -565.00, GY: 42.00, GZ: 11798.00

AX: -0.35, AY: -1.00, AZ: -0.04, GX: -569.00, GY: 37.00, GZ: 11792.00

AX: -0.40, AY: -0.98, AZ: -0.05, GX: -568.00, GY: 37.00, GZ: 11791.00

AX: -0.47, AY: -0.94, AZ: -0.05, GX: -566.00, GY: 42.00, GZ: 11790.00

AX: -0.52, AY: -0.92, AZ: -0.06, GX: -569.00, GY: 42.00, GZ: 11786.00

AX: -0.57, AY: -0.87, AZ: -0.05, GX: -566.00, GY: 33.00, GZ: 11778.00

AX: -0.65, AY: -0.85, AZ: -0.06, GX: -564.00, GY: 39.00, GZ: 11780.00

AX: -0.66, AY: -0.80, AZ: -0.05, GX: -563.00, GY: 31.00, GZ: 11772.00

AX: -0.73, AY: -0.77, AZ: -0.06, GX: -571.00, GY: 39.00, GZ: 11769.00

AX: -0.77, AY: -0.70, AZ: -0.05, GX: -558.00, GY: 38.00, GZ: 11768.00

AX: -0.80, AY: -0.69, AZ: -0.06, GX: -576.00, GY: 40.00, GZ: 11763.00

AX: -0.84, AY: -0.59, AZ: -0.06, GX: -560.00, GY: 39.00, GZ: 11771.00

AX: -0.88, AY: -0.58, AZ: -0.07, GX: -571.00, GY: 42.00, GZ: 11764.00

AX: -0.89, AY: -0.50, AZ: -0.06, GX: -567.00, GY: 35.00, GZ: 11756.00

AX: -0.96, AY: -0.45, AZ: -0.06, GX: -573.00, GY: 44.00, GZ: 11756.00

AX: -0.94, AY: -0.39, AZ: -0.06, GX: -563.00, GY: 33.00, GZ: 11751.00

AX: -0.98, AY: -0.35, AZ: -0.07, GX: -579.00, GY: 42.00, GZ: 11751.00

AX: -0.97, AY: -0.25, AZ: -0.06, GX: -560.00, GY: 37.00, GZ: 11754.00

AX: -1.01, AY: -0.23, AZ: -0.07, GX: -574.00, GY: 43.00, GZ: 11748.00

AX: -0.99, AY: -0.15, AZ: -0.06, GX: -564.00, GY: 32.00, GZ: 11754.00

AX: -1.03, AY: -0.08, AZ: -0.07, GX: -564.00, GY: 40.00, GZ: 11751.00

AX: -0.99, AY: -0.04, AZ: -0.07, GX: -572.00, GY: 35.00, GZ: 11745.00

AX: -1.02, AY: 0.06, AZ: -0.07, GX: -567.00, GY: 38.00, GZ: 11755.00

AX: -0.99, AY: 0.10, AZ: -0.07, GX: -570.00, GY: 37.00, GZ: 11760.00

AX: -0.99, AY: 0.15, AZ: -0.07, GX: -572.00, GY: 41.00, GZ: 11758.00

AX: -0.97, AY: 0.23, AZ: -0.08, GX: -569.00, GY: 35.00, GZ: 11764.00

AX: -0.94, AY: 0.29, AZ: -0.06, GX: -564.00, GY: 32.00, GZ: 11757.00

AX: -0.94, AY: 0.32, AZ: -0.08, GX: -576.00, GY: 44.00, GZ: 11765.00

AX: -0.87, AY: 0.41, AZ: -0.06, GX: -566.00, GY: 28.00, GZ: 11776.00

AX: -0.89, AY: 0.44, AZ: -0.08, GX: -573.00, GY: 42.00, GZ: 11771.00

AX: -0.82, AY: 0.51, AZ: -0.06, GX: -568.00, GY: 33.00, GZ: 11772.00

AX: -0.81, AY: 0.58, AZ: -0.06, GX: -563.00, GY: 36.00, GZ: 11775.00

AX: -0.74, AY: 0.59, AZ: -0.07, GX: -572.00, GY: 30.00, GZ: 11772.00

AX: -0.73, AY: 0.65, AZ: -0.06, GX: -574.00, GY: 39.00, GZ: 11777.00

AX: -0.65, AY: 0.71, AZ: -0.06, GX: -560.00, GY: 33.00, GZ: 11778.00

AX: -0.63, AY: 0.72, AZ: -0.06, GX: -570.00, GY: 37.00, GZ: 11777.00

AX: -0.57, AY: 0.79, AZ: -0.06, GX: -568.00, GY: 38.00, GZ: 11777.00

AX: -0.49, AY: 0.79, AZ: -0.06, GX: -567.00, GY: 25.00, GZ: 11775.00

AX: -0.49, AY: 0.84, AZ: -0.06, GX: -566.00, GY: 42.00, GZ: 11773.00

AX: -0.38, AY: 0.86, AZ: -0.05, GX: -571.00, GY: 28.00, GZ: 11782.00

AX: -0.36, AY: 0.88, AZ: -0.06, GX: -568.00, GY: 34.00, GZ: 11779.00

AX: -0.29, AY: 0.90, AZ: -0.04, GX: -571.00, GY: 37.00, GZ: 11781.00

AX: -0.22, AY: 0.92, AZ: -0.04, GX: -564.00, GY: 36.00, GZ: 11775.00

AX: -0.16, AY: 0.93, AZ: -0.05, GX: -568.00, GY: 36.00, GZ: 11773.00

AX: -0.12, AY: 0.93, AZ: -0.05, GX: -564.00, GY: 37.00, GZ: 11783.00

AX: -0.03, AY: 0.94, AZ: -0.05, GX: -567.00, GY: 33.00, GZ: 11787.00

AX: 0.01, AY: 0.93, AZ: -0.04, GX: -570.00, GY: 39.00, GZ: 11783.00

AX: 0.08, AY: 0.94, AZ: -0.05, GX: -567.00, GY: 38.00, GZ: 11786.00

AX: 0.16, AY: 0.92, AZ: -0.04, GX: -572.00, GY: 30.00, GZ: 11781.00

AX: 0.19, AY: 0.92, AZ: -0.04, GX: -565.00, GY: 41.00, GZ: 11784.00

AX: 0.28, AY: 0.89, AZ: -0.04, GX: -569.00, GY: 30.00, GZ: 11790.00

AX: 0.32, AY: 0.87, AZ: -0.04, GX: -570.00, GY: 37.00, GZ: 11783.00

AX: 0.37, AY: 0.85, AZ: -0.03, GX: -566.00, GY: 38.00, GZ: 11790.00

AX: 0.45, AY: 0.82, AZ: -0.03, GX: -567.00, GY: 38.00, GZ: 11784.00

AX: 0.51, AY: 0.79, AZ: -0.03, GX: -565.00, GY: 28.00, GZ: 11782.00

AX: 0.53, AY: 0.77, AZ: -0.03, GX: -566.00, GY: 36.00, GZ: 11783.00

AX: 0.61, AY: 0.71, AZ: -0.03, GX: -565.00, GY: 30.00, GZ: 11793.00

AX: 0.64, AY: 0.69, AZ: -0.02, GX: -560.00, GY: 36.00, GZ: 11787.00

AX: 0.70, AY: 0.64, AZ: -0.02, GX: -569.00, GY: 34.00, GZ: 11782.00

AX: 0.75, AY: 0.59, AZ: -0.02, GX: -565.00, GY: 31.00, GZ: 11783.00

AX: 0.77, AY: 0.55, AZ: -0.02, GX: -567.00, GY: 35.00, GZ: 11776.00

AX: 0.82, AY: 0.49, AZ: -0.02, GX: -561.00, GY: 34.00, GZ: 11784.00

AX: 0.85, AY: 0.43, AZ: -0.01, GX: -572.00, GY: 35.00, GZ: 11779.00

AX: 0.89, AY: 0.40, AZ: -0.01, GX: -559.00, GY: 31.00, GZ: 11778.00

AX: 0.91, AY: 0.31, AZ: -0.02, GX: -573.00, GY: 34.00, GZ: 11774.00

AX: 0.93, AY: 0.27, AZ: -0.01, GX: -568.00, GY: 31.00, GZ: 11770.00

AX: 0.95, AY: 0.22, AZ: -0.02, GX: -565.00, GY: 31.00, GZ: 11775.00

AX: 0.95, AY: 0.14, AZ: -0.01, GX: -570.00, GY: 36.00, GZ: 11775.00

AX: 0.99, AY: 0.10, AZ: -0.00, GX: -568.00, GY: 33.00, GZ: 11771.00

AX: 0.98, AY: 0.04, AZ: -0.01, GX: -560.00, GY: 39.00, GZ: 11770.00

AX: 1.01, AY: -0.05, AZ: -0.01, GX: -574.00, GY: 28.00, GZ: 11764.00

AX: 0.98, AY: -0.08, AZ: -0.01, GX: -561.00, GY: 40.00, GZ: 11767.00

AX: 1.01, AY: -0.16, AZ: -0.01, GX: -560.00, GY: 33.00, GZ: 11767.00

AX: 0.95, AY: -0.22, AZ: -0.01, GX: -570.00, GY: 46.00, GZ: 11767.00

AX: 1.00, AY: -0.28, AZ: -0.01, GX: -567.00, GY: 30.00, GZ: 11764.00

AX: 0.94, AY: -0.35, AZ: -0.01, GX: -562.00, GY: 38.00, GZ: 11757.00

AX: 0.94, AY: -0.41, AZ: -0.01, GX: -570.00, GY: 36.00, GZ: 11760.00

AX: 0.91, AY: -0.44, AZ: -0.01, GX: -556.00, GY: 35.00, GZ: 11754.00

AX: 0.87, AY: -0.54, AZ: -0.00, GX: -571.00, GY: 36.00, GZ: 11763.00

AX: 0.85, AY: -0.57, AZ: -0.01, GX: -572.00, GY: 32.00, GZ: 11757.00

AX: 0.82, AY: -0.61, AZ: -0.00, GX: -557.00, GY: 42.00, GZ: 11761.00

AX: 0.79, AY: -0.71, AZ: -0.02, GX: -570.00, GY: 32.00, GZ: 11759.00

AX: 0.72, AY: -0.72, AZ: -0.00, GX: -565.00, GY: 41.00, GZ: 11755.00

AX: 0.72, AY: -0.78, AZ: -0.02, GX: -565.00, GY: 29.00, GZ: 11757.00

AX: 0.62, AY: -0.83, AZ: -0.02, GX: -564.00, GY: 45.00, GZ: 11766.00

AX: 0.63, AY: -0.85, AZ: -0.02, GX: -563.00, GY: 36.00, GZ: 11769.00

AX: 0.55, AY: -0.90, AZ: -0.01, GX: -560.00, GY: 36.00, GZ: 11766.00

AX: 0.49, AY: -0.94, AZ: -0.02, GX: -573.00, GY: 40.00, GZ: 11767.00

AX: 0.47, AY: -0.96, AZ: -0.03, GX: -562.00, GY: 30.00, GZ: 11760.00

AX: 0.38, AY: -0.97, AZ: -0.02, GX: -557.00, GY: 41.00, GZ: 11775.00

AX: 0.33, AY: -1.03, AZ: -0.04, GX: -571.00, GY: 40.00, GZ: 11777.00

AX: 0.29, AY: -1.02, AZ: -0.02, GX: -561.00, GY: 37.00, GZ: 11774.00

AX: 0.21, AY: -1.05, AZ: -0.03, GX: -568.00, GY: 41.00, GZ: 11781.00

AX: 0.14, AY: -1.04, AZ: -0.03, GX: -562.00, GY: 37.00, GZ: 11777.00

AX: 0.11, AY: -1.06, AZ: -0.03, GX: -569.00, GY: 35.00, GZ: 11784.00

AX: 0.01, AY: -1.06, AZ: -0.03, GX: -565.00, GY: 42.00, GZ: 11791.00

AX: -0.03, AY: -1.05, AZ: -0.03, GX: -565.00, GY: 37.00, GZ: 11790.00

AX: -0.08, AY: -1.07, AZ: -0.04, GX: -570.00, GY: 32.00, GZ: 11792.00

AX: -0.19, AY: -1.04, AZ: -0.04, GX: -566.00, GY: 47.00, GZ: 11795.00

AX: -0.20, AY: -1.05, AZ: -0.04, GX: -570.00, GY: 34.00, GZ: 11793.00

AX: -0.29, AY: -1.01, AZ: -0.04, GX: -569.00, GY: 43.00, GZ: 11801.00

AX: -0.34, AY: -1.01, AZ: -0.05, GX: -574.00, GY: 35.00, GZ: 11807.00

AX: -0.39, AY: -0.98, AZ: -0.04, GX: -566.00, GY: 42.00, GZ: 11802.00

AX: -0.46, AY: -0.96, AZ: -0.05, GX: -572.00, GY: 41.00, GZ: 11797.00

AX: -0.52, AY: -0.92, AZ: -0.06, GX: -566.00, GY: 45.00, GZ: 11794.00

AX: -0.55, AY: -0.89, AZ: -0.05, GX: -571.00, GY: 34.00, GZ: 11792.00

AX: -0.63, AY: -0.85, AZ: -0.05, GX: -566.00, GY: 42.00, GZ: 11804.00

AX: -0.65, AY: -0.81, AZ: -0.05, GX: -569.00, GY: 34.00, GZ: 11795.00

AX: -0.71, AY: -0.78, AZ: -0.06, GX: -568.00, GY: 40.00, GZ: 11791.00

AX: -0.76, AY: -0.71, AZ: -0.05, GX: -567.00, GY: 37.00, GZ: 11785.00

AX: -0.79, AY: -0.69, AZ: -0.06, GX: -568.00, GY: 37.00, GZ: 11780.00

AX: -0.83, AY: -0.61, AZ: -0.06, GX: -566.00, GY: 41.00, GZ: 11777.00

AX: -0.87, AY: -0.58, AZ: -0.06, GX: -571.00, GY: 38.00, GZ: 11773.00

AX: -0.88, AY: -0.51, AZ: -0.05, GX: -569.00, GY: 31.00, GZ: 11769.00

AX: -0.95, AY: -0.46, AZ: -0.07, GX: -569.00, GY: 44.00, GZ: 11767.00

AX: -0.93, AY: -0.40, AZ: -0.06, GX: -563.00, GY: 36.00, GZ: 11757.00

AX: -0.98, AY: -0.36, AZ: -0.07, GX: -577.00, GY: 39.00, GZ: 11751.00

AX: -0.97, AY: -0.26, AZ: -0.06, GX: -560.00, GY: 29.00, GZ: 11760.00

AX: -1.02, AY: -0.24, AZ: -0.07, GX: -570.00, GY: 42.00, GZ: 11756.00

AX: -0.99, AY: -0.16, AZ: -0.06, GX: -566.00, GY: 25.00, GZ: 11753.00

AX: -1.03, AY: -0.09, AZ: -0.07, GX: -564.00, GY: 46.00, GZ: 11749.00

AX: -0.98, AY: -0.05, AZ: -0.07, GX: -568.00, GY: 33.00, GZ: 11748.00

AX: -1.03, AY: 0.03, AZ: -0.06, GX: -570.00, GY: 40.00, GZ: 11753.00

AX: -0.99, AY: 0.09, AZ: -0.07, GX: -568.00, GY: 34.00, GZ: 11755.00

AX: -1.00, AY: 0.14, AZ: -0.07, GX: -570.00, GY: 39.00, GZ: 11760.00

AX: -0.97, AY: 0.22, AZ: -0.07, GX: -569.00, GY: 35.00, GZ: 11759.00

AX: -0.95, AY: 0.28, AZ: -0.06, GX: -565.00, GY: 34.00, GZ: 11752.00

AX: -0.94, AY: 0.31, AZ: -0.08, GX: -575.00, GY: 39.00, GZ: 11757.00

AX: -0.88, AY: 0.40, AZ: -0.05, GX: -567.00, GY: 26.00, GZ: 11764.00

AX: -0.90, AY: 0.43, AZ: -0.08, GX: -570.00, GY: 40.00, GZ: 11765.00

AX: -0.82, AY: 0.48, AZ: -0.05, GX: -570.00, GY: 31.00, GZ: 11767.00

AX: -0.82, AY: 0.57, AZ: -0.07, GX: -565.00, GY: 41.00, GZ: 11773.00

AX: -0.74, AY: 0.58, AZ: -0.06, GX: -563.00, GY: 27.00, GZ: 11766.00

AX: -0.75, AY: 0.63, AZ: -0.07, GX: -571.00, GY: 39.00, GZ: 11774.00

AX: -0.64, AY: 0.69, AZ: -0.06, GX: -564.00, GY: 29.00, GZ: 11781.00

AX: -0.66, AY: 0.71, AZ: -0.06, GX: -572.00, GY: 40.00, GZ: 11781.00

AX: -0.57, AY: 0.76, AZ: -0.07, GX: -574.00, GY: 35.00, GZ: 11781.00

AX: -0.52, AY: 0.79, AZ: -0.06, GX: -570.00, GY: 31.00, GZ: 11786.00

AX: -0.49, AY: 0.83, AZ: -0.06, GX: -568.00, GY: 42.00, GZ: 11789.00

AX: -0.40, AY: 0.85, AZ: -0.05, GX: -568.00, GY: 31.00, GZ: 11796.00

AX: -0.36, AY: 0.89, AZ: -0.06, GX: -565.00, GY: 33.00, GZ: 11796.00

AX: -0.30, AY: 0.89, AZ: -0.05, GX: -574.00, GY: 36.00, GZ: 11800.00

AX: -0.23, AY: 0.93, AZ: -0.05, GX: -566.00, GY: 36.00, GZ: 11795.00

AX: -0.17, AY: 0.92, AZ: -0.05, GX: -567.00, GY: 34.00, GZ: 11796.00

AX: -0.13, AY: 0.93, AZ: -0.05, GX: -567.00, GY: 38.00, GZ: 11797.00

AX: -0.03, AY: 0.94, AZ: -0.05, GX: -571.00, GY: 35.00, GZ: 11799.00

AX: 0.00, AY: 0.93, AZ: -0.04, GX: -565.00, GY: 37.00, GZ: 11792.00

AX: 0.07, AY: 0.94, AZ: -0.05, GX: -572.00, GY: 37.00, GZ: 11795.00

AX: 0.15, AY: 0.92, AZ: -0.04, GX: -566.00, GY: 25.00, GZ: 11792.00

AX: 0.18, AY: 0.92, AZ: -0.04, GX: -567.00, GY: 41.00, GZ: 11786.00

AX: 0.27, AY: 0.89, AZ: -0.04, GX: -562.00, GY: 34.00, GZ: 11792.00

AX: 0.32, AY: 0.87, AZ: -0.04, GX: -568.00, GY: 35.00, GZ: 11791.00

AX: 0.37, AY: 0.86, AZ: -0.04, GX: -568.00, GY: 35.00, GZ: 11784.00

AX: 0.43, AY: 0.83, AZ: -0.03, GX: -572.00, GY: 34.00, GZ: 11784.00

AX: 0.50, AY: 0.80, AZ: -0.03, GX: -565.00, GY: 28.00, GZ: 11782.00
